Control_method,experiment,model_path,vecnormalize_path,target_start_N,target_start_E,target_velocity_N,target_velocity_E,initial_north,initial_east,initial_yaw,episode_reward,success,IAE_distance,IAE_heading,IAU,ISU,ISU_normalized,avg_distance,intercept_time,max_hold_time,duration,n_samples
DRL,DRL_stationary_target_20N_10E,c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\otter_10obs_station_dist.zip,c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\otter_10obs_station_dist.pkl,20.0,10.0,0.0,0.0,0.0,0.0,0.0,30.74060937773902,0,281.4061856849667,109.80895234894032,13487.874725836617,851632.0831375854,5677.547220917235,1.8760412378997782,0.0,0.0,150.0,751
DRL,DRL_straight_target_30N_0E_vE_1p5,c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\otter_10obs_station_dist.zip,c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\DRL_control\ppo_saves\otter_10obs_station_dist.pkl,30.0,0.0,0.0,1.5,0.0,0.0,0.0,-10.181598761031637,0,2462.599961897832,61.37952964751889,12198.158207571129,993043.3154479695,9930.433154479608,24.625999618978323,0.0,0.0,100.0,501
