;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_13:58:24:687584;1742907504.687585;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.579194;0.10839104652404785;0.0;0.0;0.0;-0.0;297.76166373265573;904.6238352411677;-20.0;-22.09999999999998;29.806207407182807;-2.306354563845515;0.0;-110.20652181391718;-35.02094724381012;-20.0;-22.24999999999998
2025-03-25_13:58:24:797030;1742907504.7960293;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.687585;0.1084442138671875;0.0;0.0;0.0;-0.0;304.584917592879;906.3161608838594;-20.0;-22.24999999999998;29.917595157365156;-2.3029903106488545;0.0;-111.0782850563994;-34.970780044788526;-20.0;-22.399999999999977
2025-03-25_13:58:24:906178;1742907504.906178;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.7960293;0.11014866828918457;0.0;0.0;0.0;-0.0;311.2563403961011;908.0124874015213;-20.0;-22.399999999999977;30.029319006597518;-2.299651053247528;0.0;-111.95145380266315;-34.92130492245105;-20.0;-22.549999999999976
2025-03-25_13:58:25:015656;1742907505.0146255;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907504.906178;0.10844755172729492;0.0;0.0;0.0;-0.0;317.81967240401343;909.7008063857619;-20.0;-22.549999999999976;30.141375217464763;-2.296336587746478;0.0;-112.82601784646;-34.87043261157748;-20.0;-22.699999999999974
2025-03-25_13:58:25:123589;1742907505.1225677;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.0146255;0.10794210433959961;0.0;0.0;0.0;-0.0;324.2430519673828;911.3947875259123;-20.0;-22.699999999999974;30.25376009688711;-2.2930467110880137;0.0;-113.70196700537608;-34.8205510992262;-20.0;-22.849999999999973
2025-03-25_13:58:25:230519;1742907505.229518;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.1225677;0.10695028305053711;0.0;0.0;0.0;-0.0;330.5401254638834;913.092367234461;-20.0;-22.849999999999973;30.366469995704122;-2.289781221086906;0.0;-114.57929112295592;-34.771308184979446;-20.0;-22.99999999999997
2025-03-25_13:58:25:339092;1742907505.3376894;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.229518;0.10817146301269531;0.0;0.0;0.0;-0.0;336.7202853348656;914.7926310847855;-20.0;-22.99999999999997;30.479501308256317;-2.286539916463777;0.0;-115.45798007073886;-34.72255079519141;-20.0;-23.14999999999997
2025-03-25_13:58:25:448176;1742907505.4471576;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.3376894;0.10946822166442871;0.0;0.0;0.0;-0.0;342.79170346853215;916.4948274806663;-20.0;-23.14999999999997;30.59285047196483;-2.2833225968768316;0.0;-116.33802375021176;-34.674153305374155;-20.0;-23.29999999999997
2025-03-25_13:58:25:557373;1742907505.5563776;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.4471576;0.10922002792358398;0.0;0.0;0.0;-0.0;348.7560872916316;918.2004091368093;-20.0;-23.29999999999997;30.70651396690934;-2.280129062951982;0.0;-117.21941209467894;-34.62637766403887;-20.0;-23.449999999999967
2025-03-25_13:58:25:666199;1742907505.6651995;0.0;0.0;0.0;0.0;0.0;0.0;1742907474.7962875;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907505.5563776;0.10882186889648438;0.0;0.0;0.0;-0.0;354.63136620970056;919.9044825193731;-20.0;-23.449999999999967;30.820488315404713;-2.2769591163114167;0.0;-118.10213507105243;-34.578366947073356;-20.0;-23.599999999999966
