;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_14:45:33:160496;1742910333.1604962;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1742910326.499499;6.660997152328491;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-03-25_14:45:36:279658;1742910336.278655;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1742910333.1604962;3.1181588172912598;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-03-25_14:45:36:387958;1742910336.3869572;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.278655;0.10830211639404297;0.0;0.0;0.0;-0.0;0.954929658551372;1115.3602853289506;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-80.30634024184243;-20.0;-20.299999999999997
2025-03-25_14:45:36:497915;1742910336.4969187;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.3869572;0.10996150970458984;0.0;0.0;0.0;-0.0;198.50577503182842;884.5557053948324;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66177263413454;-20.0;-20.449999999999996
2025-03-25_14:45:36:606079;1742910336.60508;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.4969187;0.10816121101379395;0.0;0.0;0.0;-0.0;208.58632472472001;886.2078441488235;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.60522685014204;-20.0;-20.599999999999994
2025-03-25_14:45:36:715274;1742910336.714272;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.60508;0.1091921329498291;0.0;0.0;0.0;-0.0;218.1671046685051;887.8724879150252;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.550732657427275;-20.0;-20.749999999999993
2025-03-25_14:45:36:825066;1742910336.8240654;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.714272;0.10979342460632324;0.0;0.0;0.0;-0.0;227.35474785445692;889.538419620777;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.49639052680823;-20.0;-20.89999999999999
2025-03-25_14:45:36:933970;1742910336.9329724;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.8240654;0.10890698432922363;0.0;0.0;0.0;-0.0;236.20785524758384;891.2022134320574;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.44161962818911;-20.0;-21.04999999999999
2025-03-25_14:45:37:039555;1742910337.0395555;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910336.9329724;0.1065831184387207;0.0;0.0;0.0;-0.0;244.76256501775893;892.863879073742;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.38642365118621;-20.0;-21.19999999999999
2025-03-25_14:45:37:154501;1742910337.153501;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.0395555;0.11394548416137695;0.0;0.0;0.0;-0.0;252.92214279202489;894.559297774403;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.33696663312933;-20.0;-21.349999999999987
2025-03-25_14:45:37:258165;1742910337.257165;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.153501;0.10366392135620117;0.0;0.0;0.0;-0.0;261.02439249503914;896.2007035618084;-20.0;-21.349999999999987;29.254444106836136;-2.3235579569039935;0.0;-105.86914675881;-35.27818456666344;-20.0;-21.499999999999986
2025-03-25_14:45:37:365961;1742910337.3649626;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.257165;0.10779762268066406;0.0;0.0;0.0;-0.0;268.7283980177738;897.8920002141052;-20.0;-21.499999999999986;29.364093720052033;-2.32006563967957;0.0;-106.73372871450586;-35.22794000020494;-20.0;-21.649999999999984
2025-03-25_14:45:37:473939;1742910337.4729202;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.3649626;0.10795760154724121;0.0;0.0;0.0;-0.0;276.2650462727378;899.5722156749082;-20.0;-21.649999999999984;29.474098798775838;-2.316599348931924;0.0;-107.59976748205872;-35.175755422672886;-20.0;-21.799999999999983
2025-03-25_14:45:37:584852;1742910337.5833225;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.4729202;0.11040234565734863;0.0;0.0;0.0;-0.0;283.5678080096241;901.2664984799449;-20.0;-21.799999999999983;29.584455377782422;-2.3131588771689677;0.0;-108.46725277109786;-35.12597542469437;-20.0;-21.94999999999998
2025-03-25_14:45:37:692834;1742910337.6918185;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.5833225;0.10849595069885254;0.0;0.0;0.0;-0.0;290.76559426819597;902.938895270662;-20.0;-21.94999999999998;29.69515953821429;-2.3097440175330792;0.0;-109.33617430308709;-35.0723853180529;-20.0;-22.09999999999998
2025-03-25_14:45:37:804386;1742910337.8033628;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.6918185;0.11154437065124512;0.0;0.0;0.0;-0.0;297.72334013076795;904.6364487553316;-20.0;-22.09999999999998;29.806207407182807;-2.306354563845515;0.0;-110.20652181391718;-35.023137834495714;-20.0;-22.24999999999998
2025-03-25_14:45:37:911606;1742910337.9116068;0.0;0.0;0.0;0.0;0.0;0.0;1742910326.484519;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742910337.8033628;0.10824394226074219;0.0;0.0;0.0;-0.0;304.5961829296939;906.3123748735746;-20.0;-22.24999999999998;29.917595157365156;-2.3029903106488545;0.0;-111.0782850563994;-34.97012130379615;-20.0;-22.399999999999977
