;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:21:45:641870;1742901705.6418703;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1742901677.3346028;28.307267427444458;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-03-25_12:21:48:750234;1742901708.7502341;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1742901705.6418703;3.1083638668060303;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-03-25_12:21:48:859374;1742901708.8593745;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901708.7502341;0.10914039611816406;0.0;0.0;0.0;-0.0;0.954929658551372;1111.846588887851;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-79.55515182123153;-20.0;-20.299999999999997
2025-03-25_12:21:48:967965;1742901708.9679658;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901708.8593745;0.10859131813049316;0.0;0.0;0.0;-0.0;198.5265411384337;884.5510449550925;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66098121777373;-20.0;-20.449999999999996
2025-03-25_12:21:49:077520;1742901709.076524;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901708.9679658;0.10855817794799805;0.0;0.0;0.0;-0.0;208.58054524099538;886.2092044433081;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.6054582818943;-20.0;-20.599999999999994
2025-03-25_12:21:49:187007;1742901709.1859639;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.076524;0.10943984985351562;0.0;0.0;0.0;-0.0;218.14974697387888;887.8767528497905;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.551459630153936;-20.0;-20.749999999999993
2025-03-25_12:21:49:297186;1742901709.2971864;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.1859639;0.11122250556945801;0.0;0.0;0.0;-0.0;227.3498178507372;889.5396796527008;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.49660570618711;-20.0;-20.89999999999999
2025-03-25_12:21:49:408997;1742901709.4083343;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.2971864;0.11114788055419922;0.0;0.0;0.0;-0.0;236.18052918396037;891.209455594613;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.44285871111614;-20.0;-21.04999999999999
2025-03-25_12:21:49:517983;1742901709.516746;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.4083343;0.10841178894042969;0.0;0.0;0.0;-0.0;244.72547111052273;892.8740468724662;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.38816653626008;-20.0;-21.19999999999999
2025-03-25_12:21:49:628410;1742901709.6268616;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.516746;0.11011552810668945;0.0;0.0;0.0;-0.0;252.9657781295636;894.5469594406136;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.33484770250723;-20.0;-21.349999999999987
2025-03-25_12:21:49:738107;1742901709.737108;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.6268616;0.11024641990661621;0.0;0.0;0.0;-0.0;260.96047074540934;896.2193187219403;-20.0;-21.349999999999987;29.254444106836136;-2.3235579569039935;0.0;-105.86914675881;-35.28138737279065;-20.0;-21.499999999999986
2025-03-25_12:21:49:848180;1742901709.8471572;0.0;0.0;0.0;0.0;0.0;0.0;1742901677.3235931;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901709.737108;0.11004924774169922;0.0;0.0;0.0;-0.0;268.70449910698386;897.8991525273597;-20.0;-21.499999999999986;29.364093720052033;-2.32006563967957;0.0;-106.73372871450586;-35.22917289620197;-20.0;-21.649999999999984
