;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_14:06:37:937759;1742907997.9367611;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.829246;0.10751509666442871;0.0;0.0;0.0;-0.0;283.6109484712074;901.252923950289;-20.0;-21.799999999999983;29.584455377782422;-2.3131588771689677;0.0;-108.46725277109786;-35.12362671775311;-20.0;-21.94999999999998
2025-03-25_14:06:38:045536;1742907998.0455368;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907997.9367611;0.10877561569213867;0.0;0.0;0.0;-0.0;290.7579076678651;902.9413704839012;-20.0;-21.94999999999998;29.69515953821429;-2.3097440175330792;0.0;-109.33617430308709;-35.072814385591656;-20.0;-22.09999999999998
2025-03-25_14:06:38:155909;1742907998.155296;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.0455368;0.10975933074951172;0.0;0.0;0.0;-0.0;297.73949123050085;904.6311331349818;-20.0;-22.09999999999998;29.806207407182807;-2.306354563845515;0.0;-110.20652181391718;-35.02221466627754;-20.0;-22.24999999999998
2025-03-25_14:06:38:262514;1742907998.261514;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.155296;0.10621786117553711;0.0;0.0;0.0;-0.0;304.6056006353262;906.3092096883439;-20.0;-22.24999999999998;29.917595157365156;-2.3029903106488545;0.0;-111.0782850563994;-34.969570584408906;-20.0;-22.399999999999977
2025-03-25_14:06:38:371404;1742907998.3704052;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.261514;0.10889124870300293;0.0;0.0;0.0;-0.0;311.26723699440635;908.0087520986456;-20.0;-22.399999999999977;30.029319006597518;-2.299651053247528;0.0;-111.95145380266315;-34.92065378776127;-20.0;-22.549999999999976
2025-03-25_14:06:38:481850;1742907998.4818509;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.3704052;0.11144566535949707;0.0;0.0;0.0;-0.0;317.79460704843257;909.7095630127409;-20.0;-22.549999999999976;30.141375217464763;-2.296336587746478;0.0;-112.82601784646;-34.87196190775468;-20.0;-22.699999999999974
2025-03-25_14:06:38:591357;1742907998.590344;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.4818509;0.10849308967590332;0.0;0.0;0.0;-0.0;324.23842690090925;911.3964329529438;-20.0;-22.699999999999974;30.25376009688711;-2.2930467110880137;0.0;-113.70196700537608;-34.82083899788616;-20.0;-22.849999999999973
2025-03-25_14:06:38:700464;1742907998.7004647;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.590344;0.11012077331542969;0.0;0.0;0.0;-0.0;330.5226599233017;913.0986895843939;-20.0;-22.849999999999973;30.366469995704122;-2.289781221086906;0.0;-114.57929112295592;-34.77241646327721;-20.0;-22.99999999999997
2025-03-25_14:06:38:810388;1742907998.8093903;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.7004647;0.10892558097839355;0.0;0.0;0.0;-0.0;336.7145119102053;914.7947561677921;-20.0;-22.99999999999997;30.479501308256317;-2.286539916463777;0.0;-115.45798007073886;-34.722924005081204;-20.0;-23.14999999999997
2025-03-25_14:06:38:918381;1742907998.9173799;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742907998.8093903;0.10798954963684082;0.0;0.0;0.0;-0.0;342.7952191143719;916.4935125345976;-20.0;-23.14999999999997;30.59285047196483;-2.2833225968768316;0.0;-116.33802375021176;-34.673921943533344;-20.0;-23.29999999999997
