"filename", "language", "Dotenv", "Python", "CSV", "Properties", "YAML", "PowerShell", "C++", "Batch", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\gnc.py", "Python", 0, 149, 0, 0, 0, 0, 0, 0, 158, 81, 388
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plotTimeSeries.py", "Python", 0, 367, 0, 0, 0, 0, 0, 0, 58, 125, 550
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_comparative_from_csv.py", "Python", 0, 267, 0, 0, 0, 0, 0, 0, 30, 81, 378
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_wave_forces.py", "Python", 0, 114, 0, 0, 0, 0, 0, 0, 3, 32, 149
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_wind_forces.py", "Python", 0, 126, 0, 0, 0, 0, 0, 0, 14, 53, 193
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\throttle_map_v2_noneg.csv", "CSV", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\local_server.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 3, 13, 46
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-04-05.csv", "CSV", 0, 0, 362, 0, 0, 0, 0, 0, 0, 1, 363
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-06-27.csv", "CSV", 0, 0, 146, 0, 0, 0, 0, 0, 0, 1, 147
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-08-59.csv", "CSV", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\2026-04-28_12-09-25.csv", "CSV", 0, 0, 138, 0, 0, 0, 0, 0, 0, 1, 139
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\IO.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 2, 14, 44
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_11-56-14.csv", "CSV", 0, 0, 358, 0, 0, 0, 0, 0, 0, 1, 359
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_11-59-57.csv", "CSV", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_12-07-03.csv", "CSV", 0, 0, 119, 0, 0, 0, 0, 0, 0, 1, 120
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_14-56-47.csv", "CSV", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-17-09.csv", "CSV", 0, 0, 308, 0, 0, 0, 0, 0, 0, 1, 309
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-19-24.csv", "CSV", 0, 0, 326, 0, 0, 0, 0, 0, 0, 1, 327
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-23-02.csv", "CSV", 0, 0, 372, 0, 0, 0, 0, 0, 0, 1, 373
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-24-54.csv", "CSV", 0, 0, 652, 0, 0, 0, 0, 0, 0, 1, 653
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-27-52.csv", "CSV", 0, 0, 839, 0, 0, 0, 0, 0, 0, 1, 840
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-29-59.csv", "CSV", 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-31-22.csv", "CSV", 0, 0, 368, 0, 0, 0, 0, 0, 0, 1, 369
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-33-17.csv", "CSV", 0, 0, 365, 0, 0, 0, 0, 0, 0, 1, 366
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-36-45.csv", "CSV", 0, 0, 920, 0, 0, 0, 0, 0, 0, 1, 921
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-39-14.csv", "CSV", 0, 0, 745, 0, 0, 0, 0, 0, 0, 1, 746
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-41-40.csv", "CSV", 0, 0, 781, 0, 0, 0, 0, 0, 0, 1, 782
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-43-42.csv", "CSV", 0, 0, 388, 0, 0, 0, 0, 0, 0, 1, 389
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-46-08.csv", "CSV", 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 761
