simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
0.92,0.0627335809924376,0.0028757069132933,20.0,10.0,22.303297657384906,5.0,22.856882691957605,True,1.4931450317914382e-08,2.9862900635828765e-07,-35.2486801077869
0.94,0.0672183219115947,0.0027757641623932,20.0,10.0,22.299333574076954,5.0,22.853014633696702,True,1.4939193368955463e-08,2.9878386737910927e-07,-35.24642855643046
0.96,0.0717574071676721,0.0026607321871213,20.0,10.0,22.295327879951213,5.0,22.849106006024172,True,1.4947023042712208e-08,2.9894046085424414e-07,-35.244153002952146
0.98,0.0763552248505813,0.0025332863489366,20.0,10.0,22.291275464111507,5.0,22.845151823021435,True,1.495494951151855e-08,2.99098990230371e-07,-35.241850531609856
1.0,0.0810169408032258,0.0023965324993429,20.0,10.0,22.287170327476506,5.0,22.84114623231394,True,1.496298471694308e-08,2.992596943388616e-07,-35.2395177198361
1.02,0.0857483988136319,0.0022538609580891,20.0,10.0,22.28300573746911,5.0,22.83708266605175,True,1.4971142073807292e-08,2.9942284147614586e-07,-35.237150725678895
1.04,0.0905403029121957,0.0021089212367565,20.0,10.0,22.278788374881998,5.0,22.83296764445606,True,1.497940873656886e-08,2.9958817473137715e-07,-35.23475332996153
1.06,0.0953844966708645,0.0019651811104646,20.0,10.0,22.274523980886734,5.0,22.828806770724967,True,1.4987773669092056e-08,2.997554733818411e-07,-35.23232878161294
1.08,0.1002738463449961,0.0018257984488469,20.0,10.0,22.270217519257056,5.0,22.82460488935184,True,1.4996227331710136e-08,2.999245466342027e-07,-35.22987988953608
1.1,0.105202140726324,0.0016935650154532,20.0,10.0,22.265873291411992,5.0,22.820366198402994,True,1.5004761459913345e-08,3.000952291982669e-07,-35.22740908771536
1.12,0.1101639658244079,0.0015708253672885,20.0,10.0,22.261495085158508,5.0,22.816094394670976,True,1.5013368775989758e-08,3.0026737551979514e-07,-35.224918519549355
1.14,0.1151537211283005,0.0014594858489869,20.0,10.0,22.257087049914617,5.0,22.811793527635587,True,1.502204126968938e-08,3.004408253937876e-07,-35.222410535635014
