simTime,experiment_time_s,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
0.0,0.0,11.042613566774769,5.0,12.121852762062332,True,1.0420117636750245e-07,2.084023527350049e-06,-26.810973824259566
0.10432720184326172,0.10432720184326172,10.952601025878074,5.0,12.039911512634362,True,1.0638885017993784e-07,2.127777003598757e-06,-26.720738891501217
0.20978713035583496,0.20978713035583496,10.944029151300436,5.0,12.032114280728626,True,1.0660018434727301e-07,2.13200368694546e-06,-26.71212048604807
0.3151087760925293,0.3151087760925293,10.944029151300436,5.0,12.032114280728626,True,1.0660018434727301e-07,2.13200368694546e-06,-26.71212048604807
0.433502197265625,0.433502197265625,10.933972110423227,5.0,12.02296744200503,True,1.0684880826598236e-07,2.1369761653196472e-06,-26.70200321695491
0.553560733795166,0.553560733795166,10.933972110423227,5.0,12.02296744200503,True,1.0684880826598236e-07,2.1369761653196472e-06,-26.70200321695491
0.665337324142456,0.665337324142456,10.92393688093015,5.0,12.013841890858476,True,1.0709762062006746e-07,2.1419524124013494e-06,-26.691901820854326
0.7706136703491211,0.7706136703491211,10.912087910953115,5.0,12.003068881597287,True,1.0739234183984743e-07,2.1478468367969484e-06,-26.679966914573797
0.8765761852264404,0.8765761852264404,10.912087910953115,5.0,12.003068881597287,True,1.0739234183984743e-07,2.1478468367969484e-06,-26.679966914573797
0.9836082458496094,0.9836082458496094,10.912087910953115,5.0,12.003068881597287,True,1.0739234183984743e-07,2.1478468367969484e-06,-26.679966914573797
1.0870487689971924,1.0870487689971924,10.90436841906537,5.0,11.996051459489086,True,1.0758489889976199e-07,2.15169797799524e-06,-26.672186882543517
1.1897146701812744,1.1897146701812744,10.90436841906537,5.0,11.996051459489086,True,1.0758489889976199e-07,2.15169797799524e-06,-26.672186882543517
1.2928998470306396,1.2928998470306396,10.898715430259678,5.0,11.990913144117942,True,1.07726184070217e-07,2.1545236814043398e-06,-26.666487280101894
1.3959543704986572,1.3959543704986572,10.891986740668788,5.0,11.984797668667781,True,1.0789465857316236e-07,2.157893171463247e-06,-26.65970059278881
1.4993607997894287,1.4993607997894287,10.891986740668788,5.0,11.984797668667781,True,1.0789465857316236e-07,2.157893171463247e-06,-26.65970059278881
1.6020879745483398,1.6020879745483398,10.886730644024393,5.0,11.98002103986215,True,1.0802649252551837e-07,2.1605298505103674e-06,-26.65439728972109
1.7048490047454834,1.7048490047454834,10.886730644024393,5.0,11.98002103986215,True,1.0802649252551837e-07,2.1605298505103674e-06,-26.65439728972109
1.807274580001831,1.807274580001831,10.88325504301041,5.0,11.97686270820583,True,1.081137791840203e-07,2.162275583680406e-06,-26.65088955690553
1.9101731777191162,1.9101731777191162,10.88325504301041,5.0,11.97686270820583,True,1.081137791840203e-07,2.162275583680406e-06,-26.65088955690553
2.013601541519165,2.013601541519165,10.877629204659266,5.0,11.971750795687997,True,1.0825525521836258e-07,2.1651051043672516e-06,-26.64521016105645
2.118323802947998,2.118323802947998,10.877629204659266,5.0,11.971750795687997,True,1.0825525521836258e-07,2.1651051043672516e-06,-26.64521016105645
2.232978105545044,2.232978105545044,10.864917600520556,5.0,11.960202108079168,True,1.0857577913548245e-07,2.171515582709649e-06,-26.632370498106024
2.338855504989624,2.338855504989624,10.864917600520556,5.0,11.960202108079168,True,1.0857577913548245e-07,2.171515582709649e-06,-26.632370498106024
2.4481801986694336,2.4481801986694336,10.839620921614777,5.0,11.937226718308938,True,1.092171943270395e-07,2.18434388654079e-06,-26.60678988554142
2.689122200012207,2.689122200012207,10.839620921614777,5.0,11.937226718308938,True,1.092171943270395e-07,2.18434388654079e-06,-26.60678988554142
2.708364486694336,2.708364486694336,10.799327099773164,5.0,11.900649806119626,True,1.1024874014644762e-07,2.2049748029289524e-06,-26.565963690131227
2.833991289138794,2.833991289138794,10.799327099773164,5.0,11.900649806119626,True,1.1024874014644762e-07,2.2049748029289524e-06,-26.565963690131227
2.9527013301849365,2.9527013301849365,10.596452394228615,5.0,11.716859790197772,True,1.1563241869902534e-07,2.312648373980507e-06,-26.35890394401317
3.075515031814575,3.075515031814575,10.596452394228615,5.0,11.716859790197772,True,1.1563241869902534e-07,2.312648373980507e-06,-26.35890394401317
3.4860429763793945,3.4860429763793945,10.148407959724727,5.0,11.313274685828334,True,1.2873938007890827e-07,2.5747876015781653e-06,-25.89258590804196
3.5204994678497314,3.5204994678497314,10.148407959724727,5.0,11.313274685828334,True,1.2873938007890827e-07,2.5747876015781653e-06,-25.89258590804196
3.685549020767212,3.685549020767212,9.840116570413935,5.0,11.037567400443582,True,1.3884626519040798e-07,2.7769253038081597e-06,-25.564358021295526
3.784843683242798,3.784843683242798,9.504241506370134,5.0,10.739208844761741,True,1.510046718136074e-07,3.020093436272148e-06,-25.199796205429557
3.891887903213501,3.891887903213501,9.504241506370134,5.0,10.739208844761741,True,1.510046718136074e-07,3.020093436272148e-06,-25.199796205429557
4.006912469863892,4.006912469863892,9.144818821649274,5.0,10.422461862764997,True,1.6550796326000259e-07,3.310159265200052e-06,-24.80151110051007
4.1108644008636475,4.1108644008636475,9.144818821649274,5.0,10.422461862764997,True,1.6550796326000259e-07,3.310159265200052e-06,-24.80151110051007
4.240288734436035,4.240288734436035,8.772881952852702,5.0,10.097695665778833,True,1.8236134935104094e-07,3.647226987020819e-06,-24.380372073078313
4.430109024047852,4.430109024047852,8.772881952852702,5.0,10.097695665778833,True,1.8236134935104094e-07,3.647226987020819e-06,-24.380372073078313
4.4329001903533936,4.4329001903533936,8.397526638223527,5.0,9.773354267582533,True,2.0154208075757803e-07,4.030841615151561e-06,-23.946042663513104
4.5411481857299805,4.5411481857299805,8.02466223742066,5.0,9.454903702560125,True,2.2306709875938746e-07,4.461341975187749e-06,-23.505344855132208
4.712741136550903,4.712741136550903,8.02466223742066,5.0,9.454903702560125,True,2.2306709875938746e-07,4.461341975187749e-06,-23.505344855132208
4.836334705352783,4.836334705352783,7.659515297874237,5.0,9.147030917099245,True,2.468743607737336e-07,4.937487215474672e-06,-23.06494015873026
4.948363780975342,4.948363780975342,7.302167822769692,5.0,8.84995225478042,True,2.731497700906943e-07,5.462995401813886e-06,-22.625691650295682
5.059419393539429,5.059419393539429,7.302167822769692,5.0,8.84995225478042,True,2.731497700906943e-07,5.462995401813886e-06,-22.625691650295682
