simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
0.0,0.0,0.0,30.0,0.0,30.0,5.0,30.4138126514911,True,6.2243202927354504e-09,1.24486405854709e-07,-39.04878071737969
0.2,5.2001818687942206e-05,-2.5461066201571203e-06,30.0,0.3,30.00144798874303,5.0,30.415240939720555,True,6.223424968630234e-09,1.2446849937260467e-07,-39.049405463967794
0.4,0.0008078471106525,-4.2301215935621374e-05,30.0,0.6000000000000003,30.005192560442374,5.0,30.418934573538674,True,6.221110402030702e-09,1.2442220804061405e-07,-39.0510209578112
0.6000000000000001,0.0041258546566274,-0.0002237516371351,30.0,0.9000000000000006,30.00937967613277,5.0,30.423064746114758,True,6.218523636241887e-09,1.2437047272483774e-07,-39.05282714940943
0.8,0.012943162799093,-0.0006864687182552,30.0,1.2000000000000008,30.011085047923224,5.0,30.424746929985808,True,6.217470477599752e-09,1.2434940955199504e-07,-39.053562725486024
1.0,0.0308492522061885,-0.0014667841348718,30.0,1.500000000000001,30.006739227177796,5.0,30.420460204406027,True,6.220154718912587e-09,1.2440309437825175e-07,-39.05168816954799
1.2000000000000002,0.0616215420666499,-0.0022900025571096,30.0,1.8000000000000014,29.99257831437246,5.0,30.406491970363255,True,6.228911953109865e-09,1.245782390621973e-07,-39.045578122560315
1.4,0.1087639449234927,-0.0023982488734412,30.0,2.100000000000001,29.965080865854038,5.0,30.379369172140027,True,6.245963063629199e-09,1.24919261272584e-07,-39.03370592695033
1.6,0.1749183068180894,-0.0005231519447167,30.0,2.399999999999999,29.92153086671866,5.0,30.336413918062192,True,6.273094357393228e-09,1.2546188714786456e-07,-39.01488184264488
1.8,0.2614735509534634,0.0049739489754188,30.0,2.699999999999997,29.86039384831254,5.0,30.276114690896872,True,6.311444788213186e-09,1.2622889576426372e-07,-38.988412169262865
2.0,0.3686486534683049,0.0159022024567818,30.0,2.999999999999995,29.781232719397426,5.0,30.198043351960866,True,6.361561690507282e-09,1.2723123381014565e-07,-38.954062612797976
2.2,0.4957118514287567,0.0340728416318704,30.0,3.299999999999993,29.684495942456024,5.0,30.102646052426824,True,6.423519928623033e-09,1.2847039857246065e-07,-38.911969285007515
2.4000000000000004,0.6412151622422821,0.0611801588969156,30.0,3.599999999999991,29.57129508522644,5.0,29.99102354067859,True,6.497036438656495e-09,1.299407287731299e-07,-38.86254701821371
2.6,0.8032075772628903,0.0987210105766601,30.0,3.899999999999989,29.443206512399943,5.0,29.86473521951652,True,6.581563915273434e-09,1.3163127830546867e-07,-38.80640901136792
2.8000000000000003,0.9786436299848068,0.1476527574924367,30.0,4.19999999999999,29.302911864340036,5.0,29.72643005356143,True,6.675816330532281e-09,1.3351632661064562e-07,-38.744656247610465
3.0,1.1631453382198464,0.2079765146283877,30.0,4.499999999999993,29.1545134135971,5.0,29.580156395523222,True,6.777457247433097e-09,1.3554914494866193e-07,-38.67903217627938
3.2,1.3532824437414657,0.2794817822510645,30.0,4.799999999999995,29.00119845290968,5.0,29.429058967371873,True,6.884616751910937e-09,1.3769233503821875e-07,-38.61090235075378
3.4000000000000004,1.5469676623111286,0.3621895292465402,30.0,5.099999999999998,28.844789776775105,5.0,29.274936332404714,True,6.9962495368692386e-09,1.3992499073738476e-07,-38.54104713170226
3.6,1.7434190403241228,0.4566285794319998,30.0,5.4,28.68573318798747,5.0,29.11822948828458,True,7.112229290439031e-09,1.422445858087806e-07,-38.469642549723936
3.8,1.9431259885859051,0.5641324664325078,30.0,5.700000000000003,28.52306636066179,5.0,28.95799224073928,True,7.233473920536241e-09,1.4466947841072482e-07,-38.39623084333449
4.0,2.1473478268315134,0.6866908904342357,30.0,6.000000000000005,28.354919974729285,5.0,28.792385916649938,True,7.3616790925507666e-09,1.4723358185101532e-07,-38.319931224087455
4.2,2.3552944940819214,0.8246590829003098,30.0,6.300000000000008,28.181715715467067,5.0,28.621829093672602,True,7.496886545576994e-09,1.4993773091153988e-07,-38.24089065852544
4.4,2.5637907274265457,0.975945298967293,30.0,6.60000000000001,28.006705813584247,5.0,28.449526718886798,True,7.63684294674317e-09,1.527368589348634e-07,-38.16056144997549
4.6000000000000005,2.768752222875189,1.136838277357202,30.0,6.900000000000013,27.83441913423918,5.0,28.27993791613589,True,7.777999656318266e-09,1.5555999312636532e-07,-38.081020847144835
4.800000000000001,2.967659718050345,1.304255780482428,30.0,7.200000000000015,27.667801159851734,5.0,28.115960254294944,True,7.91779574765712e-09,1.583559149531424e-07,-38.00365710103664
5.0,3.159575008072013,1.4759456687919583,30.0,7.500000000000018,27.508137783802432,5.0,27.958856277263184,True,8.054875124884375e-09,1.6109750249768752e-07,-37.92911192416788
5.2,3.3444605761407877,1.6499559822200782,30.0,7.80000000000002,27.35581882155136,5.0,27.809006156235494,True,8.188573883459287e-09,1.6377147766918575e-07,-37.857617324259344
5.4,3.522375067504528,1.8237181915022005,30.0,8.10000000000002,27.21132733634261,5.0,27.666881562720196,True,8.318113234554727e-09,1.6636226469109455e-07,-37.78945176211943
5.6000000000000005,3.6944861839500898,1.9954948577203528,30.0,8.400000000000013,27.07393106373508,5.0,27.531758811305163,True,8.443803398127734e-09,1.6887606796255468e-07,-37.72431891507868
5.800000000000001,3.865023279767269,2.1673269756646194,30.0,8.700000000000006,26.939057611764856,5.0,27.39913912899429,True,8.569626642307757e-09,1.7139253284615513e-07,-37.66008103150002
6.0,4.038558005084187,2.341613798837192,30.0,9.0,26.801689820964903,5.0,27.264089518251176,True,8.700323917135517e-09,1.7400647834271034e-07,-37.59434582429376
6.2,4.218620137216893,2.519777468480537,30.0,9.299999999999994,26.65803753478568,5.0,27.122886373062183,True,8.839819095636613e-09,1.7679638191273226e-07,-37.525266269440635
6.4,4.4072789957699365,2.7021284603811484,30.0,9.599999999999987,26.505999324255676,5.0,26.973468449152815,True,8.990678955365297e-09,1.7981357910730595e-07,-37.45177514445448
