simTime,usv_north_m,usv_east_m,target_north_m,target_east_m,horizontal_distance_m,height_m,distance_3d_m,inside_fov,channel_transfer_H,P_rec_W,P_rec_dBm
1.42,0.2453675183113656,0.0016847107932083,20.0,10.0,22.14072747470087,5.0,22.698277756450466,True,1.525336270191274e-08,3.0506725403825477e-07,-35.156044070862926
1.44,0.25545682178941,0.0022991159321984,20.0,10.0,22.131448400037275,5.0,22.68922670087089,True,1.5272009687623404e-08,3.0544019375246804e-07,-35.1507381346062
1.46,0.2657292215496238,0.002961525027553,20.0,10.0,22.121985024569558,5.0,22.679996063211295,True,1.529105780430612e-08,3.0582115608612237e-07,-35.14532474274739
1.48,0.2761576404083113,0.0036703040032566,20.0,10.0,22.112362262252528,5.0,22.670610155377155,True,1.5310458659466362e-08,3.062091731893272e-07,-35.13981803168023
1.5,0.2867169368469364,0.0044235760803997,20.0,10.0,22.102603402640487,5.0,22.661091703058236,True,1.533016684656637e-08,3.0660333693132743e-07,-35.13423122792225
1.52,0.2973837897797349,0.0052192719639563,20.0,10.0,22.092730191824526,5.0,22.651461924757857,True,1.5350139794982167e-08,3.0700279589964334e-07,-35.12857669349335
1.54,0.3081673635401178,0.0060589393485967,20.0,10.0,22.082733764326388,5.0,22.64171218141686,True,1.537039674026233e-08,3.074079348052466e-07,-35.12284926694248
1.56,0.3190762013139906,0.0069442434599442,20.0,10.0,22.072605757431624,5.0,22.63183432519343,True,1.5390956041273243e-08,3.078191208254649e-07,-35.11704406560839
1.58,0.3301181743639135,0.0078769330228624,20.0,10.0,22.062338371534995,5.0,22.621820758287903,True,1.541183505312767e-08,3.082367010625534e-07,-35.11115652054996
1.6,0.3413004516439855,0.0088588111651456,20.0,10.0,22.05192441007735,5.0,22.61166447185535,True,1.5433050040279328e-08,3.0866100080558655e-07,-35.1051823998628
1.62,0.3526294885139606,0.0098917111637669,20.0,10.0,22.04135730027272,5.0,22.601359066177533,True,1.545461612773919e-08,3.0909232255478385e-07,-35.09911782104284
1.64,0.364111140918704,0.0109774996822153,20.0,10.0,22.030630989557423,5.0,22.59089864963428,True,1.5476547505843045e-08,3.095309501168609e-07,-35.092959192030364
1.66,0.3757505560603928,0.0121180340105836,20.0,10.0,22.019740062146525,5.0,22.58027795233045,True,1.549885718572315e-08,3.09977143714463e-07,-35.0867032785811
1.68,0.3875522076759142,0.0133151509960355,20.0,10.0,22.008679712330846,5.0,22.56949230000452,True,1.552155704599858e-08,3.104311409199716e-07,-35.08034718949495
1.7,0.3995199411879713,0.0145706595777908,20.0,10.0,21.997445707364587,5.0,22.558537577787543,True,1.5544657901036222e-08,3.1089315802072443e-07,-35.073888355847956
1.72,0.4116570260699471,0.0158863365086938,20.0,10.0,21.98603434250544,5.0,22.5474101863125,True,1.5568169585792232e-08,3.1136339171584467e-07,-35.06732450568176
1.74,0.4239662727394924,0.017263938746346,20.0,10.0,21.974442331023898,5.0,22.53610693441738,True,1.5592101175654057e-08,3.1184202351308115e-07,-35.06065360121932
1.76,0.4364500147313391,0.0187051863216798,20.0,10.0,21.96266682767981,5.0,22.52462506199975,True,1.5616460932197756e-08,3.123292186439551e-07,-35.05387385279043
1.78,0.4491101695343833,0.0202117651908716,20.0,10.0,21.950705373054387,5.0,22.512962185697347,True,1.5641256412179143e-08,3.1282512824358284e-07,-35.0469836872213
1.8,0.4619482976330974,0.0217853314454559,20.0,10.0,21.938555838890565,5.0,22.501116245558116,True,1.5666494575451825e-08,3.133298915090365e-07,-35.039981716737174
1.82,0.4749656581879137,0.0234275164559108,20.0,10.0,21.926216376026904,5.0,22.489085454245362,True,1.5692181888550794e-08,3.138436377710159e-07,-35.03286670928984
1.84,0.4881632830182754,0.0251399383789795,20.0,10.0,21.91368534316121,5.0,22.476868227559603,True,1.5718324469389726e-08,3.1436648938779455e-07,-35.02563754775183
1.86,0.5015419856152843,0.0269241987112469,20.0,10.0,21.900961300293986,5.0,22.464463178027977,True,1.5744928098261344e-08,3.148985619652269e-07,-35.01829322634313
1.88,0.5151024019054593,0.0287818883087599,20.0,10.0,21.888042969602143,5.0,22.45186907674169,True,1.5771998297136054e-08,3.154399659427211e-07,-35.0108328282454
1.9,0.5288450245898605,0.0307145930151508,20.0,10.0,21.874929202225093,5.0,22.439084820962734,True,1.5799540397442994e-08,3.159908079488599e-07,-35.00325550657389
1.92,0.5427702478006527,0.0327239032593164,20.0,10.0,21.861618934070954,5.0,22.42610939103191,True,1.5827559631796204e-08,3.1655119263592406e-07,-34.99556045894761
1.94,0.5568785520511201,0.034811463651967,20.0,10.0,21.848110998542918,5.0,22.412941667809964,True,1.5856061529163974e-08,3.1712123058327947e-07,-34.98774681919557
1.96,0.5711705438733571,0.0369789842520152,20.0,10.0,21.83440408610893,5.0,22.399580393290634,True,1.588505200469702e-08,3.177010400939404e-07,-34.97981363371406
1.98,0.5856469451779549,0.0392282384819343,20.0,10.0,21.82049675471055,5.0,22.386024180777024,True,1.5914537343060095e-08,3.182907468612019e-07,-34.97175986718402
2.0,0.6003085793447032,0.0415610604634125,20.0,10.0,21.80638744334158,5.0,22.372271528146744,True,1.5944524174922963e-08,3.1889048349845927e-07,-34.96358441013468
2.02,0.6151563548559993,0.0439793418016456,20.0,10.0,21.792074488059924,5.0,22.358320833487298,True,1.5975019448050623e-08,3.1950038896101245e-07,-34.955286087934724
