unix_time,episode,reward,length
1778324542,1,-95.23791282941238,1334
1778324542,2,-94.35125642828643,1334
1778324542,3,-86.4163620910258,1334
1778324542,4,-85.70290433906484,1334
1778324542,5,-98.64773520891322,1334
1778324542,6,-91.0212853095727,1334
1778324542,7,-81.02480529411696,1334
1778324542,8,-121.02844867575914,1334
1778324542,9,-103.0760516433511,1334
1778324542,10,-121.62130674999207,1334
1778324542,11,-128.03456709813327,1334
1778324542,12,-125.59605246409774,1334
1778324542,13,-114.69957467750646,1334
1778324542,14,-129.40248095616698,1334
1778324542,15,-107.91765832621604,1334
1778324542,16,-70.07034573607234,1334
1778324542,17,-106.92466007396467,1334
1778324542,18,-111.37934405205306,1334
1778324542,19,-131.31941626220942,1334
1778324542,20,-97.53093993768562,1334
1778324542,21,-118.97649961709976,1334
1778324542,22,-110.14756572907208,1334
1778324542,23,-81.77786845853552,1334
1778324542,24,-117.33541337784845,1334
1778324542,25,-101.38845090474933,1334
1778324542,26,-105.49215354863554,1334
1778324542,27,-101.27654156158678,1334
1778324542,28,-96.24941061716527,1334
1778324542,29,-72.63061189849395,1334
1778324542,30,-94.65639260323951,1334
1778324542,31,-94.87368915532716,1334
1778324542,32,-121.73303515277803,1334
1778324542,33,-98.43142063729465,1334
1778324542,34,-116.25888680294156,1334
1778324542,35,-115.63911949843168,1334
1778324542,36,-87.99189572100295,1334
1778324542,37,-90.87466621269778,1334
1778324542,38,-113.50018947059289,1334
1778324542,39,-119.52268456295133,1334
1778324542,40,-111.98232415999519,1334
1778324542,41,-85.38158424012363,1334
1778324542,42,-105.59222337789834,1334
1778324542,43,-109.27623054548167,1334
1778324542,44,-67.80183163251422,1334
1778324542,45,-58.52957631071695,1334
1778324542,46,-112.9064353085123,1334
1778324542,47,-99.5466361893341,1334
1778324542,48,-119.57016828656197,1334
1778324542,49,-86.38560602202779,1334
1778324542,50,-73.99936986753892,1334
1778324542,51,-89.14969924278557,1334
1778324542,52,-91.04504351026844,1334
1778324542,53,-76.7618809195748,1334
1778324542,54,-91.90308423168608,1334
1778324542,55,-62.345793539163424,1334
1778324542,56,-99.32775012496859,1334
1778324542,57,-74.99375373643124,1334
1778324542,58,-63.57980272837449,1334
1778324542,59,-68.63378019112861,1334
1778324542,60,-63.14195765147451,1334
1778324542,61,-77.83027010480873,1334
1778324542,62,-77.53594140466157,1334
1778324542,63,-110.78036402910948,1334
1778324542,64,-91.22836250904948,1334
1778324542,65,-69.17928088415647,1334
1778324542,66,-46.9261060753488,1334
1778324542,67,-79.92753457881554,1334
1778324542,68,-40.023989668727154,1334
1778324542,69,-63.196361567308486,1334
1778324542,70,-71.56623239473265,1334
1778324542,71,-72.56974411753981,1334
1778324542,72,-102.77047297591344,1334
1778324542,73,-47.568750967489905,1334
1778324542,74,-30.82145075542212,1334
1778324542,75,-81.17302504635882,1334
1778324542,76,-22.699747360173205,1334
1778324542,77,-67.28905900400787,1334
1778324542,78,-71.80349742685212,1334
1778324542,79,-99.423554725945,1334
1778324542,80,-50.07695746551326,1334
1778324542,81,-53.056268221604114,1334
1778324542,82,-84.99030891247094,1334
1778324542,83,-49.53169480910594,1334
1778324542,84,-59.68089912462892,1334
1778324542,85,-47.26697237195003,1334
1778324542,86,-82.15839258336928,1334
1778324542,87,-61.91999106257572,1334
1778324542,88,-11.833682785621932,1334
1778324542,89,-74.32740068350176,1334
1778324542,90,-66.77978919335874,1334
1778324542,91,-37.33127326540125,1334
1778324542,92,-46.37142402793688,1334
1778324542,93,-16.968325873713184,1334
1778324542,94,-34.42672935942301,1334
1778324542,95,-45.69902690219169,1334
1778324542,96,-74.36551408236846,1334
1778324542,97,-42.27507950453764,1334
1778324542,98,-6.287565815538983,1334
1778324542,99,-29.884143261355348,1334
1778324542,100,-15.512205547071062,1334
1778324542,101,-48.07901269987633,1334
1778324542,102,-40.32903009226584,1334
1778324542,103,10.960033745541296,1334
