unix_time,episode,reward,length
1778363081,1,-15.064153368737607,1334
1778363081,2,-97.19872137904167,1334
1778363081,3,33.21566454795902,1334
1778363081,4,-50.31987202078744,1334
1778363081,5,-59.85230148746632,1334
1778363081,6,-91.28596572238894,1334
1778363081,7,68.78666607013292,1334
1778363081,8,29.801874150754884,1334
1778363081,9,-17.549238224048167,1334
1778363081,10,-28.159539582702564,1334
1778363081,11,-56.885925249367574,1334
1778363081,12,-100.5368707664311,1334
1778363081,13,-102.37400622921996,1334
1778363081,14,24.185584498452954,1334
1778363081,15,-103.53068231930956,1334
1778363081,16,-86.49674351976137,1334
1778368563,17,77.45132104140066,1334
1778368563,18,-82.14178022646229,1334
1778368563,19,-109.17865063995123,1334
1778368563,20,20.418559509213992,1334
1778368563,21,11.392256902574445,1334
1778368563,22,81.48394877774263,1334
1778368563,23,44.92412981227244,1334
1778368563,24,-57.08788986885702,1334
1778368563,25,114.0935447953525,1334
1778368563,26,15.20155165428514,1334
1778368563,27,-90.0481539444736,1334
1778368563,28,33.98623980056436,1334
1778368563,29,43.35591375892545,1334
1778368563,30,28.49256773037996,1334
1778368563,31,-95.03632151894271,1334
1778368563,32,43.126199846796226,1334
1778368563,33,33.53201022738722,1334
1778368563,34,103.4731686690966,1334
1778368563,35,46.67316309752823,1334
1778368563,36,-52.968484398166765,1334
1778368563,37,62.25603131648677,1334
1778368563,38,-88.01282887358684,1334
1778368563,39,-115.67325699329376,1334
1778368563,40,-90.58498749195132,1334
1778368563,41,-115.8441426668578,1334
1778368563,42,-64.95023832697188,1334
1778368563,43,-97.00226018232934,1334
1778368563,44,-81.68091677775556,1334
1778368563,45,20.67224969721974,1334
1778368563,46,-53.1720417967299,1334
1778368563,47,-53.06051994697191,1334
1778368563,48,-29.872293908141728,1334
1778368563,49,32.377152489104446,1334
1778368563,50,-96.49714408582076,1334
1778368563,51,23.061793651097105,1334
1778368563,52,62.1121189257683,1334
1778368563,53,27.553995334061256,1334
1778368563,54,-17.427056895321584,1334
1778368563,55,-37.084316128017235,1334
1778368563,56,-32.246697854061495,1334
1778368563,57,48.099972078125575,1334
1778368563,58,111.69943554569909,1334
1778368563,59,16.17178282920213,1334
1778368563,60,-87.31151874136413,1334
1778368563,61,-84.90624684877548,1334
1778368563,62,34.53840845608647,1334
1778368563,63,65.17843034062935,1334
1778368563,64,82.24265233171172,1334
1778368563,65,31.173092173276473,1334
1778368563,66,-19.285700124168216,1334
1778368563,67,-82.13414056129113,1334
1778368563,68,59.46285470701332,1334
1778368563,69,-88.2218588575488,1334
1778368563,70,-73.44583216472529,1334
1778368563,71,85.33746584846813,1334
1778368563,72,95.34754094202071,1334
1778368563,73,-100.4993475896772,1334
1778368563,74,-117.0233940675389,1334
1778368563,75,-37.495461700718806,1334
1778368563,76,-72.0370806271967,1334
1778368563,77,-3.8071107427822426,1334
1778368563,78,-78.16769676160766,1334
1778368563,79,47.195259548709146,1334
1778368563,80,-86.3651077879656,1334
1778368563,81,54.239767253580794,1334
1778368563,82,-63.64115309362353,1334
1778368563,83,28.581670969204424,1334
1778368563,84,-53.98341549188626,1334
1778368563,85,-55.29784288906376,1334
1778368563,86,100.30846627959727,1334
1778368563,87,-68.78187955924659,1334
1778368563,88,-8.513525144968298,1334
1778368563,89,131.57573200861225,1334
1778368563,90,67.78373749992898,1334
1778368563,91,38.595908091221645,1334
1778368563,92,-124.28689986746758,1334
1778368563,93,-68.2308830183465,1334
1778368563,94,64.42720257794281,1334
1778368563,95,-81.92124367007636,1334
1778368563,96,69.87937053747373,1334
1778368563,97,-21.974372687735013,1334
1778368563,98,6.7908618575529545,1334
1778368563,99,28.17444540640645,1334
1778368563,100,31.40542520589588,1334
1778368563,101,-36.14350077345716,1334
1778368563,102,72.93414983043294,1334
1778368563,103,55.507476395789126,1334
1778368563,104,111.42279758333461,1334
1778368563,105,-24.19915354443947,1334
1778368563,106,-54.17255053309782,1334
1778368563,107,16.583928796855616,1334
1778368563,108,-36.95034209173173,1334
1778368563,109,-55.74001791956471,1334
