unix_time,episode,IAE_distance,IAE_heading
1778324542,1,35423.78982053186,290.89548830777625
1778324542,2,48847.12530682567,189.90878005627198
1778324542,3,29334.74872826921,175.11538166466204
1778324542,4,34520.73806767855,148.70969427145886
1778324542,5,22919.047626904045,535.9083123910646
1778324542,6,35472.29742262174,177.44814351964322
1778324542,7,15375.692587315705,358.67605663776766
1778324542,8,43065.06837717881,478.8187423320979
1778324542,9,42420.1991398939,430.3374035567884
1778324542,10,22945.722126780925,584.7808864705239
1778324542,11,43137.18589997723,497.3426160405971
1778324542,12,36443.70540403645,550.9914632910608
1778324542,13,32412.09840487245,459.1640767986669
1778324542,14,51405.60315531311,641.4522776331435
1778324542,15,44296.191340495134,299.48146708996154
1778324542,16,18256.066860785188,155.27127837904513
1778324542,17,25897.958835345093,432.05520769257026
1778324542,18,29237.494684040757,519.4654212659493
1778324542,19,30757.068246620187,643.2221373935405
1778324542,20,51162.93872320627,212.05198200784633
1778324542,21,53966.41629568046,411.7342023783647
1778324542,22,27944.58059495073,544.2806221556982
1778324542,23,38470.18198236383,135.85406361849678
1778324542,24,50659.4314817946,477.14288242892076
1778324542,25,43411.74548015853,351.3178930815666
1778324542,26,29216.55234640607,352.2209918360718
1778324542,27,36390.1450542518,326.3233924948141
1778324542,28,42512.47406083381,252.43428917460585
1778324542,29,21465.076240052815,161.02204968747787
1778324542,30,36848.005135606705,222.19930539011625
1778324542,31,47569.25894761187,256.09908617793474
1778324542,32,46834.383161430924,439.6971027676603
1778324542,33,25579.620250584474,257.06379226194366
1778324542,34,47636.505045660844,484.97821293423067
1778324542,35,22952.62667744505,477.27553264571395
1778324542,36,19668.115572081788,266.41132001780414
1778324542,37,28960.82449012181,193.33140507554285
1778324542,38,48993.040338641214,450.1295025411594
1778324542,39,33336.507822448824,415.80778676001705
1778324542,40,46763.8878897184,455.2895367426053
1778324542,41,45742.755719748006,159.67375676241565
1778324542,42,39656.773994142124,569.6268050524125
1778324542,43,37638.29830516005,341.94596038196005
1778324542,44,17564.63526746185,222.38897014296717
1778324542,45,20088.758991866798,154.1224300354347
1778324542,46,31637.042787972146,495.83674519538675
1778324542,47,32894.81080315535,617.2688919396285
1778324542,48,39588.34103874471,623.7704610569835
1778324542,49,28929.527344236634,313.4228960110669
1778324542,50,24978.53136019548,192.9152170803719
1778324542,51,39964.89539510243,290.27891913203206
1778324542,52,21047.552774459124,458.73449871899953
1778324542,53,39352.557111325266,148.2806058059969
1778324542,54,29705.983455307593,266.11602940317056
1778324542,55,22932.45140820095,313.78890993825894
1778324542,56,44404.00784942611,259.2869680009648
1778324542,57,20969.13922723772,363.43267446115385
1778324542,58,24850.567161090654,187.0929549669004
1778324542,59,29341.513702048313,200.0754213834388
1778324542,60,28387.213315010762,187.25210987564253
1778324542,61,37834.89314454994,194.978043357793
1778324542,62,22617.719192983746,296.93732179557907
1778324542,63,38066.61102617681,431.4753142336184
1778324542,64,41438.59393585543,258.8390970954439
1778324542,65,37527.85640370437,149.74250627130724
