unix_time,episode,IAE_distance,IAE_heading
1772125588,1,3747.352840549065,607.0919496279357
1772125588,2,5057.954050678725,297.297310086984
1772125588,3,5222.559606347699,592.4173647382647
1772125588,4,2666.4432795937114,664.4262318982834
1772125588,5,4168.656439957213,634.5337610051221
1772125588,6,1875.1044790681663,465.5014001269722
1772125588,7,7677.028626649668,574.5048192931242
1772125588,8,1872.7351719045466,311.422235926419
1772154071,9,3225.2334472460584,486.6793447694845
1772154071,10,2397.232603285741,418.19277983706303
1772154071,11,2362.949894491519,382.66592960126746
1772154071,12,7775.877758788948,341.1115429301286
1772154071,13,1943.6215283270499,472.8974179175014
1772154071,14,1789.661907487455,255.255424311809
1772154071,15,6423.101333643498,484.7394705088111
1772154071,16,2307.972026625274,406.2038552469607
1772154071,17,3007.7940274146445,639.9209847175126
1772154071,18,5689.421462543449,606.0071003931051
1772154071,19,2347.314869327724,474.4434186549729
1772154071,20,3590.692798090798,564.7091731282115
1772154071,21,3284.9978345235827,426.43818686681254
1772154071,22,5537.051666512311,709.6205990405618
1772154071,23,4294.096250843704,394.22316246048723
1772154071,24,3570.9715241157614,199.43318341928574
1772154071,25,2331.755803297765,450.8545308987809
1772154071,26,4860.789461661834,404.93946709145985
1772154071,27,2880.799671740011,315.344869194314
1772154071,28,7439.563815018245,482.1689720252527
1772154071,29,3979.730356874163,578.0805081000049
1772154071,30,3644.7401790608624,603.3660148238241
1772154071,31,5418.846837297183,547.6559134200494
1772154071,32,3295.806722424276,652.2941955108664
1772154071,33,5972.458703610501,465.42803639237025
1772154071,34,1680.063165114936,295.3542649618371
1772154071,35,3922.642926556594,671.2850503930176
1772154071,36,5670.402742233146,526.5267293640824
1772154071,37,2352.7259525415807,560.9337591142319
1772154071,38,974.3274821513078,591.4649266553193
1772154071,39,3085.503891851227,587.747549823656
1772154071,40,5008.659200087714,425.0230846488903
1772154071,41,1635.6948800770285,389.56829325330125
1772154071,42,5173.296239925895,628.3425752922647
1772154071,43,5791.962304104539,429.39304502041244
1772154071,44,4107.751401786377,505.531640243279
1772154071,45,2960.3660566359613,405.71655361059857
1772154071,46,3639.1687936904545,337.3690633848544
1772154071,47,2596.5876321973315,482.2158248679671
1772154071,48,8084.785651029486,497.03850462752524
1772154071,49,930.3074296914152,513.365035057983
1772154071,50,3801.296876134019,361.58836954035655
1772154071,51,2393.7860126009923,687.8455155962248
1772154071,52,4355.437966420783,535.076605258399
1772154071,53,2593.1091778897485,555.0812565051026
1772154071,54,4730.642896250891,476.32487009063897
1772154071,55,4823.995108295107,393.4382197891371
1772154071,56,808.0134365366622,517.6152269042532
1772154071,57,2606.6734476171714,462.19545916268305
1772154071,58,2486.788257415232,464.78157765709216
1772154071,59,6191.364950867115,433.49184438937414
1772154071,60,5153.786859489867,369.8970522511296
1772154071,61,2644.1943153356233,510.21010355320624
1772154071,62,4024.855916995119,491.53107227100526
1772154071,63,970.8447210755178,546.2212905411162
1772154071,64,2257.2119053030033,512.3056568931996
1772154071,65,2913.1784789318826,552.3986276871793
1772154071,66,2416.4939021835994,303.51197171832064
1772154071,67,5285.158693716974,366.0574622357845
1772154071,68,4844.731064049185,359.49223654916216
