unix_time,episode,reward,length
1778266669,1,-111.7160898335278,1334
1778266669,2,-102.85680058563594,1334
1778266669,3,-93.24481665281928,1334
1778266669,4,-92.32999322241812,1334
1778266669,5,-91.34322011415497,1334
1778266669,6,-77.61270255129784,1334
1778266669,7,-117.00355885987301,1334
1778266669,8,-114.05096380785108,1334
1778266669,9,-112.91423398256302,1334
1778266669,10,-116.63791182544082,1334
1778266669,11,-121.02302119508386,1334
1778266669,12,-119.83432132285088,1334
1778266669,13,-130.6835816539824,1334
1778266669,14,-127.09370127879083,1334
1778266669,15,-98.35452400287613,1334
1778266669,16,-118.50540825491771,1334
1778266669,17,-116.40596805368114,1334
1778266669,18,-122.18399762210902,1334
1778266669,19,-97.92516047618119,1334
1778266669,20,-110.68972943191693,1334
1778266669,21,-130.43548033828847,1334
1778266669,22,-92.00581728928955,1334
1778266669,23,-96.63066076888936,1334
1778266669,24,-102.86138600762933,1334
1778266669,25,-98.87462809687713,1334
1778266669,26,-109.56654512170644,1334
1778266669,27,-106.83218434231821,1334
1778266669,28,-71.50797756994143,1334
1778266669,29,-130.71280849725008,1334
1778266669,30,-91.16272737283725,1334
1778266669,31,-102.2992849284783,1334
1778266669,32,-78.89373293872632,1334
1778266669,33,-99.00717262906255,1334
1778266669,34,-99.24521759478375,1334
1778266669,35,-95.7896403890918,1334
1778266669,36,-117.77268853085116,1334
1778266669,37,-114.03860200941563,1334
1778266669,38,-75.89029522785859,1334
1778266669,39,-112.10483377007768,1334
1778266669,40,-112.81929601007141,1334
1778266669,41,-109.29692074691411,1334
1778266669,42,-82.26275545684621,1334
1778266669,43,-104.95277614891529,1334
1778266669,44,-123.10190366907045,1334
1778266669,45,-105.48424038942903,1334
1778266669,46,-78.65373917493889,1334
1778266669,47,-108.99917115407516,1334
1778266669,48,-120.88588239997625,1334
1778266669,49,-50.03979009651812,1334
1778266669,50,-46.72507698996924,1334
1778266669,51,-85.98177233035676,1334
1778266669,52,-67.87183845893014,1334
1778266669,53,-64.71231565932976,1334
1778266669,54,-75.9201492840657,1334
1778266669,55,-87.06534765590914,1334
1778266669,56,-88.94803839588712,1334
1778266669,57,-71.58719125529751,1334
1778266669,58,-86.79363409703365,1334
1778266669,59,-80.72531952895224,1334
1778266669,60,-93.06923003870179,1334
1778266669,61,-100.29663271503523,1334
1778266669,62,-92.16542719199424,1334
1778266669,63,-71.06782887270674,1334
1778266669,64,-99.68357784301043,1334
1778266669,65,-92.5303532704711,1334
1778266669,66,-99.9750344266431,1334
1778266669,67,-103.89358774013817,1334
1778266669,68,-63.485691636858974,1334
1778266669,69,-47.3509423032956,1334
1778266669,70,-54.51814355904207,1334
1778266669,71,-80.03320377410637,1334
1778266669,72,-73.58623928618908,1334
