unix_time,episode,IAE_distance,IAE_heading
1778266669,1,41806.889023585514,321.69465132536436
1778266669,2,35955.53437732017,425.64770969154256
1778266669,3,33104.28992700145,299.2472998331971
1778266669,4,27058.749315282636,275.02749855759265
1778266669,5,40550.05907967076,176.9100159853287
1778266669,6,15670.49633299184,292.27076358239634
1778266669,7,39074.833519656575,433.96583647652807
1778266669,8,43115.69524037011,315.07518402150447
1778266669,9,46865.32838889111,403.4955538956473
1778266669,10,42322.96906265266,508.06982368367267
1778266669,11,49461.434227909165,506.18272959916675
1778266669,12,49355.33704745594,369.91356510696846
1778266669,13,53054.31492369128,589.1586861050786
1778266669,14,51524.26620233164,591.0850608117622
1778266669,15,35916.85217353756,347.64480024919544
1778266669,16,28855.99575753614,686.3980601778014
1778266669,17,21944.638396683105,699.3823891084933
1778266669,18,44185.01563131213,620.4709451012792
1778266669,19,23816.645572223733,329.983307627116
1778266669,20,23725.434201457985,521.1242520452357
1778266669,21,42350.577414196196,702.0156422720588
1778266669,22,19909.383256360143,525.0499782118477
1778266669,23,31110.977754921827,208.71160756769967
1778266669,24,47214.67857076151,232.7512393342286
1778266669,25,31662.257629910204,309.1854871219554
1778266669,26,25727.774675291363,476.4918078182158
1778266669,27,44815.59586344222,467.64475421539584
1778266669,28,25955.65038691628,239.67136485365123
1778266669,29,42743.03063016875,617.8872158965568
1778266669,30,31386.615786486775,230.6186278527494
1778266669,31,43603.81659405285,370.5892408736526
1778266669,32,31715.082153631625,252.38602544931712
1778266669,33,41051.85717290079,297.95365392269525
1778266669,34,40729.15868992574,389.9382599215943
1778266669,35,23118.51098580375,592.244523521003
1778266669,36,32235.861340908963,583.0273406504604
1778266669,37,40148.24921719761,474.52369346114597
1778266669,38,19442.848692903623,269.5613929947328
1778266669,39,36027.86334137951,474.98497176867596
1778266669,40,28229.472168927117,362.18231063463793
1778266669,41,22660.918357263396,553.3744219525536
1778266669,42,23388.359271107263,436.6464243362471
1778266669,43,39030.9856731944,313.77028695663273
1778266669,44,38162.37448072125,600.5004588355077
1778266669,45,41026.28626037751,347.2568148822564
1778266669,46,21092.95527802985,352.20448950463646
1778266669,47,28461.647707454074,490.91717763156595
1778266669,48,46163.746873837175,646.4422193062503
1778266669,49,14538.640573369448,183.8825430700126
1778266669,50,16336.165851097072,217.95429283839195
1778266669,51,48788.795076723494,240.1838718248458
1778266669,52,14959.672236128285,295.8876540678456
1778266669,53,33758.9311600179,181.12439051498083
1778266669,54,22959.104342195445,478.41523156239265
1778266669,55,33478.72031348496,273.5580220143285
1778266669,56,41714.07407398901,279.95832600554274
1778266669,57,42259.226765299616,179.91885412246174
1778266669,58,17670.508684636727,351.220626126377
1778266669,59,49708.6973818822,165.601950206917
1778266669,60,35884.31707510108,326.024178419715
1778266669,61,41675.272888897816,354.9648654027908
1778266669,62,25162.544358916213,459.45944279233805
1778266669,63,39025.7655848416,238.130129341266
1778266669,64,54741.50524353691,293.4263931199477
1778266669,65,45251.31322320255,314.7902075756806
1778266669,66,36285.84960667955,327.86706354599795
1778266669,67,28147.287168517858,376.20313755300464
1778266669,68,20048.41591875292,266.49892937127123
1778266669,69,16590.472893467162,215.63310054115342
1778266669,70,19067.887245815487,193.12242244448652
1778266669,71,22758.186358296774,350.7264998804341
1778266669,72,16655.31074294923,275.8167537168331
1778266669,73,29214.069883017866,149.04676855590668
1778266669,74,41490.20137551084,154.64754807946667
1778266669,75,43132.278410964005,202.26828602491386
1778266669,76,31072.565978719213,167.46197794633682
1778266669,77,21712.81225212947,271.66775315230444
