;current_time;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;target_north_from_observer;target_east_from_observer
2025-11-24_17:12:44:013401;1764000764.0112035;-101.18407104364547;-35.750981924589205;59.90871833333333;10.719326;0.0;59.90871833333333;10.719326;0.0;1764000764.0112035;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4085061079454304;-0.7740254599508559;5.91807878536077e-08;1764000763.8907568;0.12044668197631836;0.0;0.0;0.0;-0.0;209.59245957782372;888.1565070344834;-20.40850610794543;-20.57597454004913;28.98064612514352;-2.352108370338774;0.0;-20.0;-21.499999999999986
2025-11-24_17:12:44:117098;1764000764.1149662;-102.03709718876091;-35.65448164076502;59.90871833333333;10.719325166666666;0.0;59.90871833333333;10.719325166666666;0.0;1764000764.1149662;0;0.44937220084739715;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4085061079454304;-0.7740254599508559;5.91807878536077e-08;1764000764.0112035;0.10376262664794922;0.0;0.0;0.0;-0.0;220.10122154592904;889.5655618144414;-20.40850610794543;-20.72597454004913;29.087336457517228;-2.3484768254978463;0.0;-20.0;-21.649999999999984
2025-11-24_17:12:44:219447;1764000764.217333;-102.62583373661663;-35.637310705154064;59.90871833333333;10.719325166666666;0.0;59.90871833333333;10.719325166666666;0.0;1764000764.217333;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4085061178010634;-0.8206534998533502;6.489189591230016e-08;1764000764.1149662;0.10236692428588867;0.0;0.0;0.0;-0.0;225.93383904521662;890.8258382001459;-20.408506117801064;-20.829346500146634;29.16108361469948;-2.3459896481134295;0.0;-20.0;-21.799999999999983
2025-11-24_17:12:44:334752;1764000764.3326592;-103.48139660319679;-35.57010051175785;59.90871816666667;10.719325;0.0;59.90871816666667;10.719325;0.0;1764000764.3326592;0;0.1801733625896779;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4085061178010634;-0.8206534998533502;6.489189591230016e-08;1764000764.217333;0.1153261661529541;0.0;0.0;0.0;-0.0;235.08923559643003;892.407507084086;-20.408506117801064;-20.979346500146633;29.268414742406843;-2.342402902733696;0.0;-20.0;-21.94999999999998
2025-11-24_17:12:44:438647;1764000764.435951;-104.29678039672051;-35.50189715135991;59.90871816666667;10.719325;0.0;59.90871816666667;10.719325;0.0;1764000764.435951;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993766439689237;-0.8299791120470694;6.546183861644295e-08;1764000764.3326592;0.10329174995422363;0.0;0.0;0.0;-0.0;243.58326355023226;893.8881130714719;-20.389937664396893;-21.12002088795291;29.35651274020057;-2.338608157154046;0.0;-20.0;-22.09999999999998
2025-11-24_17:12:44:539084;1764000764.5390844;-105.15539368439815;-35.452678687126344;59.908718666666665;10.719323333333334;0.0;59.908718666666665;10.719323333333334;0.0;1764000764.5390844;0;1.0532646979861937;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993766439689237;-0.8299791120470694;6.546183861644295e-08;1764000764.435951;0.1031334400177002;0.0;0.0;0.0;-0.0;251.75141257255297;895.576032590989;-20.389937664396893;-21.27002088795291;29.464611766183925;-2.335072233539253;0.0;-20.0;-22.24999999999998
2025-11-24_17:12:44:650655;1764000764.6486597;-105.44494606685582;-35.51747833303402;59.908718666666665;10.719323333333334;0.0;59.908718666666665;10.719323333333334;0.0;1764000764.6475317;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4456430531347458;-0.923235178089076;8.243455612566564e-08;1764000764.5390844;0.10957527160644531;0.0;0.0;0.0;-0.0;252.77504008165252;896.6175419255832;-20.445643053134745;-21.326764821910903;29.544123233314835;-2.3351042258539776;0.0;-20.0;-22.399999999999977
2025-11-24_17:12:44:754292;1764000764.7522972;-106.305057421523;-35.400860769673734;59.90871816666667;10.719323833333334;0.0;59.90871816666667;10.719323833333334;0.0;1764000764.751162;0;0.6015239429762405;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.4456430531347458;-0.923235178089076;8.243455612566564e-08;1764000764.6486597;0.1036374568939209;0.0;0.0;0.0;-0.0;262.0105018836922;897.9128590082212;-20.445643053134745;-21.4767648219109;29.652584155042316;-2.3316034906066636;0.0;-20.0;-22.549999999999976
2025-11-24_17:12:44:855451;1764000764.8533552;-107.36426376557067;-35.28048749351768;59.90871816666667;10.719323833333334;0.0;59.90871816666667;10.719323833333334;0.0;1764000764.8533552;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993767990240624;-0.8952583678213116;7.444692001756792e-08;1764000764.7522972;0.1010580062866211;0.0;0.0;0.0;-0.0;272.5109051401689;899.6400079248065;-20.389937679902406;-21.654741632178663;29.74352692178108;-2.326121181224562;0.0;-20.0;-22.699999999999974
2025-11-24_17:12:44:956143;1764000764.9561436;-108.22807045781728;-35.26490692239883;59.90871683333334;10.719327333333334;0.0;59.90871683333334;10.719327333333334;0.0;1764000764.9561436;0;2.391342967077038;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.38993767990240624;-0.8952583678213116;7.444692001756792e-08;1764000764.8533552;0.10278844833374023;0.0;0.0;0.0;-0.0;279.2473798032041;901.5233879912209;-20.389937679902406;-21.80474163217866;29.852911352770423;-2.3226766600408832;0.0;-20.0;-22.849999999999973
