;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-11-24_16:52:00:532821;1763999520.5328214;0.0;0.0;0.0;0.0;0.0;0.0;1763999472.9945316;0.0;0.0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1763999473.001028;47.53179335594177;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-11-24_16:52:03:560037;1763999523.5600379;59.908693666666665;10.719295333333333;0.0;59.908693666666665;10.719295333333333;0.0;1763999523.5600379;0.0;109316.42275417694;0.51;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1763999520.5328214;3.0272164344787598;0.0;0.0;0.0;-0.0;918.5441656768778;880.474972807467;5403687.344084019;1186315.528415123;5532375.75057702;0.21610973489107338;0.0;196.71297093230677;3.287029067693224;19.999999971879078;-19.998500108719224
2025-11-24_16:52:03:666972;1763999523.6650317;59.908691166666664;10.719294;0.0;59.908691166666664;10.719294;0.0;1763999523.6650317;0.0;2.7463086745027234;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.8282646965;596291.3428290742;3228169.2060956;1763999523.5600379;0.10499382019042969;0.0;0.0;0.0;-0.0;0.954929658551372;1215.1751658521;-5495363.828580671;-596311.1838388713;5527622.512115324;-3.033503886228384;0.0;-96.29243356295652;-103.70756643704348;19.99968402519417;-19.841009797075372
2025-11-24_16:52:03:769747;1763999523.7697473;59.90869133333333;10.7192795;0.0;59.90869133333333;10.7192795;0.0;1763999523.7697473;271.21;7.749954341798422;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.688617059;596291.3143493594;3228168.955435401;1763999523.6650317;0.10471558570861816;0.0;0.0;0.0;0.0;390.47051818456725;1055.3734622952775;-5495363.689854818;-596310.9996762011;5527622.354331887;-3.0335039166433395;0.0;-153.86040488761222;-46.13959511238777;19.998762240893157;-19.68532684178724
2025-11-24_16:52:03:877130;1763999523.87713;59.9086915;10.719274333333333;0.0;59.9086915;10.719274333333333;0.0;1763999523.87713;274.36;2.69773054942339;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.697926901;596290.5141900713;3228168.8203160153;1763999523.7697473;0.10738277435302734;0.0;0.0;0.0;0.0;390.4704232989361;1055.3734775204998;-5495363.700772628;-596310.0370632247;5527622.261340926;-3.0335040899860557;0.0;-153.86039978880584;-46.13960021119417;19.99715427342658;-19.522873153433974
2025-11-24_16:52:03:996949;1763999523.9969494;59.90869333333333;10.7192725;0.0;59.90869333333333;10.7192725;0.0;1763999523.9969494;274.36;1.9075856423235145;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.707236744;596290.2271523835;3228168.7823309186;1763999523.87713;0.11981940269470215;0.0;0.0;0.0;0.0;390.47043102992757;1055.3734762799954;-5495363.712630056;-596309.5703146405;5527622.22277717;-3.033504174163996;0.0;-153.86040020424096;-46.13959979575904;19.994606688644183;-19.343162256978115
2025-11-24_16:52:04:116103;1763999524.112771;59.908693166666666;10.71927;0.0;59.908693166666666;10.71927;0.0;1763999524.112771;274.36;1.2183500034903199;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.809645013;596290.0934902339;3228168.9368925197;1763999523.9969494;0.11582159996032715;0.0;0.0;0.0;0.0;390.47042197975946;1055.3734777321731;-5495363.818268401;-596309.2629502573;5527622.294641135;-3.03350423150632;0.0;-153.8603997179181;-46.13960028208188;19.991376612305828;-19.169460023407247
2025-11-24_16:52:04:231192;1763999524.2282567;59.9086925;10.719266666666666;0.0;59.9086925;10.719266666666666;0.0;1763999524.2282567;274.36;1.738372982882455;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.80033517;596289.9590351661;3228168.8950888654;1763999524.112771;0.11548566818237305;0.0;0.0;0.0;0.0;390.47040693275375;1055.3734801465953;-5495363.812930396;-596308.9553123624;5527622.256146907;-3.033504286732002;0.0;-153.86039890934723;-46.13960109065276;19.98740477367062;-18.99627719632134
2025-11-24_16:52:04:333251;1763999524.333252;59.908691833333336;10.7192625;0.0;59.908691833333336;10.7192625;0.0;1763999524.333252;274.36;2.3304443722804367;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.763095801;596289.7877303163;3228168.797255756;1763999524.2282567;0.1049952507019043;0.0;0.0;0.0;0.0;390.47038765247896;1055.373483240282;-5495363.779952949;-596308.6265724149;5527622.187898106;-3.033504345213554;0.0;-153.86039787329605;-46.13960212670394;19.98314285205786;-18.83884209862105
2025-11-24_16:52:04:442648;1763999524.4426482;59.908691833333336;10.7192625;0.0;59.908691833333336;10.7192625;0.0;1763999524.4426482;274.36;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.725856429;596289.5706110249;3228168.690749977;1763999524.333252;0.10939621925354004;0.0;0.0;0.0;0.0;390.47036635283325;1055.3734866579941;-5495363.747771691;-596308.2466999135;5527622.114924793;-3.0335044129070328;0.0;-153.86039672873136;-46.13960327126864;19.97808473863296;-18.67608888867773
2025-11-24_16:52:04:553709;1763999524.553709;59.90869083333333;10.719266833333334;0.0;59.90869083333333;10.719266833333334;0.0;1763999524.553709;274.36;2.4026218536695674;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.725856429;596289.5706110249;3228168.690749977;1763999524.4426482;0.11106085777282715;0.0;0.0;0.0;0.0;390.47036976011856;1055.3734861112655;-5495363.753679251;-596308.0789503134;5527622.102701407;-3.033504443192738;0.0;-153.86039691182634;-46.13960308817365;19.97217717765423;-18.508339288504796
2025-11-24_16:52:04:671453;1763999524.6694446;59.90869133333333;10.719265333333333;0.0;59.90869133333333;10.719265333333333;0.0;1763999524.6694446;274.36;0.8703845745704509;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.669997372;596289.82677537;3228168.641134367;1763999524.553709;0.11573553085327148;0.0;0.0;0.0;0.0;390.47038841386353;1055.3734831181112;-5495363.704670568;-596308.161646709;5527622.062899842;-3.033504427363012;0.0;-153.86039791421007;-46.13960208578993;19.965326803891877;-18.33487133886849
2025-11-24_16:52:04:785854;1763999524.7858546;59.90869133333333;10.719265333333333;0.0;59.90869133333333;10.719265333333333;0.0;1763999524.7858546;274.36;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.697926901;596289.7353447421;3228168.6728803143;1763999524.6694446;0.1164100170135498;0.0;0.0;0.0;0.0;390.4703555228579;1055.373488395757;-5495363.740249786;-596307.8957688368;5527622.06958909;-3.033504475876542;0.0;-153.8603961467683;-46.1396038532317;19.957677115777543;-18.160424094725165
2025-11-24_16:52:04:897019;1763999524.8970196;59.90869166666667;10.719264166666667;0.0;59.90869166666667;10.719264166666667;0.0;1763999524.8970196;274.36;0.6756037037734719;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.697926901;596289.7353447421;3228168.6728803143;1763999524.7858546;0.11116504669189453;0.0;0.0;0.0;0.0;390.47035204881394;1055.3734889531972;-5495363.748265575;-596307.7292141642;5527622.0595905455;-3.0335045059884798;0.0;-153.86039596008595;-46.13960403991405;19.949661326530027;-17.99386942210851
2025-11-24_16:52:05:015284;1763999525.0152845;59.90869166666667;10.719264166666667;0.0;59.90869166666667;10.719264166666667;0.0;1763999525.0152845;274.36;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495383.716546587;596289.6652281047;3228168.692309745;1763999524.8970196;0.11826491355895996;0.0;0.0;0.0;0.0;390.4703356888331;1055.373491578297;-5495363.776079867;-596307.4836877676;5527622.060755675;-3.033504550690177;0.0;-153.86039508096076;-46.13960491903923;19.940466719331717;-17.818459663000617
