;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_14:30:18:041074;1765459818.0410748;19.971631305330853;-18.493782621699424;188.18934453799488;-11.810655462005103;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459817.9383044;0.10277032852172852;0.0;0.0;0.0;-0.0;807.0711153904596;947.3361703910466;19.971631305330853;-18.493782621699424;27.219222117002957;-0.746996856359088;0.0
2025-12-11_14:30:18:180791;1765459818.168619;19.96557709940079;-18.34088966254472;188.15346183356166;-11.846538166438322;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.0410748;0.12754416465759277;0.0;0.0;0.0;-0.0;806.7479830419413;947.4555293387326;19.96557709940079;-18.34088966254472;27.11111400377633;-0.7430106911656114;0.0
2025-12-11_14:30:18:289182;1765459818.2891824;19.956286431228975;-18.130461386976048;188.20203943027832;-11.797960569721681;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.168619;0.12056350708007812;0.0;0.0;0.0;-0.0;807.1854049583975;947.293938952771;19.956286431228975;-18.130461386976048;26.962325534528418;-0.7374962440658658;0.0
2025-12-11_14:30:18:409620;1765459818.4085805;19.948411097040164;-17.96912560164877;188.18654578988622;-11.813454210113782;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.2891824;0.11939811706542969;0.0;0.0;0.0;-0.0;807.0459166453891;947.3454805876249;19.948411097040164;-17.96912560164877;26.848250970674876;-0.7332457591663816;0.0
2025-12-11_14:30:18:516160;1765459818.5161605;19.93874844810781;-17.787225181188514;188.22199929233932;-11.778000707660695;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.4085805;0.10757994651794434;0.0;0.0;0.0;-0.0;807.3650668755723;947.2275357097291;19.93874844810781;-17.787225181188514;26.719638270815498;-0.7284295811538835;0.0
2025-12-11_14:30:18:628499;1765459818.6284997;19.929678062550828;-17.629175286731005;188.21537842182806;-11.78462157817194;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.5161605;0.11233925819396973;0.0;0.0;0.0;-0.0;807.3054757907088;947.2495627944177;19.929678062550828;-17.629175286731005;26.607891479168487;-0.7242239755495863;0.0
2025-12-11_14:30:18:743607;1765459818.7436073;19.91933615019572;-17.460984181286538;188.22882531799286;-11.77117468200714;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.6284997;0.11510753631591797;0.0;0.0;0.0;-0.0;807.4264998528566;947.2048255546807;19.91933615019572;-17.460984181286538;26.488977353677374;-0.7197267924182216;0.0
2025-12-11_14:30:18:867911;1765459818.8519309;19.908004542631097;-17.288695254063864;188.2518678940739;-11.748132105926096;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.7436073;0.10832357406616211;0.0;0.0;0.0;-0.0;807.6338442939369;947.1281589913801;19.908004542631097;-17.288695254063864;26.367169519258432;-0.7150964239213171;0.0
2025-12-11_14:30:18:976595;1765459818.9765956;19.894866209182695;-17.101785006005798;188.26258012864625;-11.73741987135375;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.8519309;0.1246647834777832;0.0;0.0;0.0;-0.0;807.7302182700979;947.0925154547843;19.894866209182695;-17.101785006005798;26.235029099906182;-0.7100455915195009;0.0
2025-12-11_14:30:19:096776;1765459819.095778;19.882792797978063;-16.94012440881184;188.2636962466716;-11.73630375332839;0.0;0.0;0.0;0.0;0.0;0.0;1765459809.3010263;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765459818.9765956;0.11918234825134277;0.0;0.0;0.0;-0.0;807.7402589059441;947.0888016432531;19.882792797978063;-16.94012440881184;26.120743948696234;-0.7056535832421095;0.0
