;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-11-24_17:39:58:348114;1764002398.3481147;-20.0;-20.0;0.0;0.0;59.90869633333333;10.719292166666667;0.0;59.90869633333333;10.719292166666667;0.0;1764002398.3476856;0;1505744.3749640405;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1764002394.6830418;3.6650729179382324;0.0;0.0;0.0;-0.0;;;;;;;
2025-11-24_17:40:01:367688;1764002401.3662424;-20.0;-20.15;-48.36449067910539;-41.854411346953675;59.908698;10.719290666666666;0.0;59.908698;10.719290666666666;0.0;1764002401.3662424;0;0.06750648034604807;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;5.979054455391553;-9.326546682865295;9.602737052194499e-06;1764002398.3481147;3.018127679824829;0.0;0.0;0.0;-0.0;0.954929658551372;796.9015710729741;-25.97905445539155;-10.673453317134705;28.086186571146563;-2.7517693193263426;0.0
2025-11-24_17:40:01:475142;1764002401.4751427;-20.0;-20.299999999999997;-98.42222526051354;-29.177317442868144;59.908696666666664;10.719291;0.0;59.908696666666664;10.719291;0.0;1764002401.4751427;0;1.3747800050547545;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.1856845589426238;-0.08393052295016064;2.4850566326950485e-09;1764002401.3662424;0.10890030860900879;0.0;0.0;0.0;-0.0;317.87894921475225;842.0058177474808;-20.185684558942622;-20.066069477049837;28.46241390625408;-2.3591661552205805;0.0
2025-11-24_17:40:01:585415;1764002401.5843098;-20.0;-20.449999999999996;-99.46543623894084;-35.62887070372176;59.90869583333333;10.719291166666666;0.0;59.90869583333333;10.719291166666666;0.0;1764002401.5843098;0;0.8547397763143881;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.03713691110756211;-0.06527929822796609;-7.587031350397844e-10;1764002401.4751427;0.10916709899902344;0.0;0.0;0.0;-0.0;195.26621640385875;883.4464427433791;-20.037136911107563;-20.23472070177203;28.47684634002141;-2.3512882798252615;0.0
2025-11-24_17:40:01:688265;1764002401.687198;-20.0;-20.599999999999994;-100.42787854642239;-35.5552847058077;59.908696666666664;10.719290666666666;0.0;59.908696666666664;10.719290666666666;0.0;1764002401.687198;0;0.9424406401709661;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;-0.05570536701616513;-0.05595368562920852;3.94248363122518e-10;1764002401.5843098;0.10288810729980469;0.0;0.0;0.0;-0.0;207.01685507415542;885.2522195162553;-19.944294632983834;-20.394046314370787;28.525287263758948;-2.3450454682976463;0.0
2025-11-24_17:40:01:790716;1764002401.7894855;-20.0;-20.749999999999993;-101.06676742530883;-35.6460878443121;59.908697;10.719290666666666;0.0;59.908697;10.719290666666666;0.0;1764002401.7894855;0;0.363063921809577;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.03713691149948705;-0.0839305264122198;-5.315916595804993e-10;1764002401.687198;0.10228753089904785;0.0;0.0;0.0;-0.0;211.0427835545972;887.2691292876777;-20.037136911499488;-20.516069473587773;28.677446927075906;-2.34438505907289;0.0
2025-11-24_17:40:01:892528;1764002401.8925283;-20.0;-20.89999999999999;-101.89969240827382;-35.56777446019543;59.908697833333335;10.719291;0.0;59.908697833333335;10.719291;0.0;1764002401.8925283;0;0.919007900510153;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.07427382361991365;-0.08393052553281898;-7.033631663211359e-10;1764002401.7894855;0.1030428409576416;0.0;0.0;0.0;-0.0;220.86742806525328;888.7396503580047;-20.074273823619915;-20.666069474467175;28.810812155667804;-2.3416694767995274;0.0
2025-11-24_17:40:02:003321;1764002402.0013883;-20.0;-21.04999999999999;-102.80529770348258;-35.56032882883727;59.9086995;10.719291166666666;0.0;59.9086995;10.719291166666666;0.0;1764002402.0013883;0;1.7078684768634687;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.1671161010081043;-0.06527929599570417;9.466299549787394e-10;1764002401.8925283;0.10886001586914062;0.0;0.0;0.0;-0.0;229.31764179312776;890.7902065110673;-20.167116101008105;-20.834720704004287;28.996519767817055;-2.339913619202785;0.0
2025-11-24_17:40:02:110527;1764002402.108843;-20.0;-21.19999999999999;-103.59991941675705;-35.61524432970636;59.90869983333333;10.719290833333334;0.0;59.90869983333333;10.719290833333334;0.0;1764002402.108843;0;0.3867432617063557;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.3528006582454208;-0.05595367950499585;9.978232795582187e-09;1764002402.0013883;0.10745477676391602;0.0;0.0;0.0;-0.0;235.12629473232943;892.9441095560666;-20.35280065824542;-20.994046320494995;29.24015177014929;-2.34068679603445;0.0
2025-11-24_17:40:02:217366;1764002402.2153978;-20.0;-21.349999999999987;-104.32751739868692;-35.52951152526529;59.90869983333333;10.719290833333334;0.0;59.90869983333333;10.719290833333334;0.0;1764002402.2142203;0;0.0;0.49;0;0;0;0;0;0;59.90869633333333;10.719292166666667;0.0;0.3899375695428594;-0.07460490509409021;1.1482339440371803e-08;1764002402.108843;0.10655474662780762;0.0;0.0;0.0;-0.0;243.25215109342193;894.1197477588847;-20.38993756954286;-21.125395094905898;29.36037928920077;-2.338481020113105;0.0
