;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_14:54:17:907122;1765461257.9071226;-20.0;-20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1765461250.268867;7.638255596160889;0.0;0.0;0.0;-0.0;;;;;;;
2025-12-11_14:54:21:044189;1765461261.0441892;20.0;-20.0;196.71297093633447;3.2870290636655186;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1765461257.9071226;3.137066602706909;0.0;0.0;0.0;-0.0;918.5441656630594;880.4749728407069;5403687.344084047;1186315.5269152317;5532375.750255424;0.216109734626267;0.0
2025-12-11_14:54:21:159998;1765461261.159998;19.999632288797436;-19.828486848919454;172.0399624785694;-27.960037521430593;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.0441892;0.11580872535705566;0.0;0.0;0.0;-0.0;645.4979480036477;999.6157362421875;19.999632288797436;-19.828486848919454;28.162993136470433;-0.7811010891144918;0.0
2025-12-11_14:54:21:262621;1765461261.2626214;19.998510240259392;-19.65477752120615;188.14604468917042;-11.853955310829564;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.159998;0.10262346267700195;0.0;0.0;0.0;-0.0;806.6811737371397;947.4801995879177;19.998510240259392;-19.65477752120615;28.04016211147629;-0.7767299260520533;0.0
2025-12-11_14:54:21:364543;1765461261.3632152;19.996885507155184;-19.500850996675698;188.14182618482752;-11.858173815172474;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.2626214;0.10059380531311035;0.0;0.0;0.0;-0.0;806.6431734452466;947.4942305171243;19.996885507155184;-19.500850996675698;27.93131968920947;-0.7728402682088086;0.0
2025-12-11_14:54:21:465406;1765461261.4654064;19.99468558979978;-19.347984223302927;188.14705810555722;-11.85294189444278;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.3632152;0.10219120979309082;0.0;0.0;0.0;-0.0;806.6903023264314;947.4768288899166;19.99468558979978;-19.347984223302927;27.82322672409018;-0.7689619852350816;0.0
2025-12-11_14:54:21:575805;1765461261.574285;19.991933342114848;-19.196714521578652;188.14050904144403;-11.859490958555966;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.4654064;0.10887861251831055;0.0;0.0;0.0;-0.0;806.6313082494221;947.4986113508292;19.991933342114848;-19.196714521578652;27.716263225380004;-0.7651088770288967;0.0
2025-12-11_14:54:21:683485;1765461261.6834857;19.988265054739472;-19.03115640483007;188.15488472281126;-11.845115277188748;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.574285;0.10920071601867676;0.0;0.0;0.0;-0.0;806.7607989647981;947.4507965770138;19.988265054739472;-19.03115640483007;27.599196618808016;-0.7608740487958435;0.0
2025-12-11_14:54:21:801674;1765461261.8016741;19.984026858679258;-18.869692004621772;188.14785370402632;-11.852146295973695;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.6834857;0.11818838119506836;0.0;0.0;0.0;-0.0;806.6974687966086;947.4741826620487;19.984026858679258;-18.869692004621772;27.48502511983027;-0.7567257607925164;0.0
2025-12-11_14:54:21:913735;1765461261.9137354;19.978624571017853;-18.69249190839687;188.16904499376489;-11.830955006235126;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.8016741;0.1120612621307373;0.0;0.0;0.0;-0.0;806.888329028294;947.4036959178703;19.978624571017853;-18.69249190839687;27.359727584447196;-0.7521521934603792;0.0
2025-12-11_14:54:22:025578;1765461262.025578;19.972777052627364;-18.524501880398724;188.17330078921;-11.82669921078999;0.0;0.0;0.0;0.0;0.0;0.0;1765461250.268867;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765461261.9137354;0.11184263229370117;0.0;0.0;0.0;-0.0;806.926653583423;947.389539603228;19.972777052627364;-18.524501880398724;27.24094332270551;-0.7477957002086248;0.0
