;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_15:10:34:907880;1765462234.9078808;-20.0;-20.0;0.0;0.0;59.908642;10.719224833333334;0.0;59.908642;10.719224833333334;0.0;1765462234.9078808;0;406250.4103445828;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1765462221.3074236;13.600457191467285;0.0;0.0;0.0;-0.0;;;;;;;
2025-12-11_15:10:37:928082;1765462237.9280825;20.0;-20.0;194.96039684441544;-5.039603155584562;59.90862766666667;10.719225;0.0;59.90862766666667;10.719225;0.0;1765462237.9280825;0;0.5287442940112714;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-0.07425068584537067;-13.09411617976879;1.3407859256096832e-05;1765462234.9078808;3.0202016830444336;0.0;0.0;0.0;-0.0;865.8904785028749;924.5374255831878;20.07425068584537;-6.90588382023121;21.22891358352317;-0.33133485572548055;0.0
2025-12-11_15:10:38:059599;1765462238.0574765;19.999606108997632;-19.82248626802632;182.7192195830068;-17.280780416993196;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5968871766039512;0.009325633361119245;2.0021726065966305e-07;1765462237.9280825;0.1293940544128418;0.0;0.0;0.0;-0.0;756.2191499027376;965.3614584838516;21.596493285601582;-19.83181190138744;29.320799537649833;-0.7428278664835769;0.0
2025-12-11_15:10:38:281010;1765462238.2799659;19.99859242013089;-19.664434196844248;188.5561069328838;-11.443893067116182;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.0574765;0.2224893569946289;0.0;0.0;0.0;-0.0;810.3665096315044;946.1153215268911;21.50263732003425;-19.683085463176774;29.151110871931632;-0.7412476831471899;0.0
2025-12-11_15:10:38:396069;1765462238.396069;19.99645705072966;-19.467624766600323;188.63774990328446;-11.362250096715531;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.2799659;0.1161031723022461;0.0;0.0;0.0;-0.0;811.0982573901911;945.8433406052895;21.50050195063302;-19.48627603293285;29.01700428646671;-0.7362943580519422;0.0
2025-12-11_15:10:38:523116;1765462238.513625;19.993840461268263;-19.298056157073944;188.63118113502406;-11.368818864975939;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.396069;0.11755585670471191;0.0;0.0;0.0;-0.0;811.039407405766;945.865226333271;21.497885361171623;-19.31670742340647;28.90145776052765;-0.732007822055959;0.0
2025-12-11_15:10:38:628809;1765462238.6288097;19.99001256466903;-19.106190692813456;188.65749200652684;-11.342507993473161;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.513625;0.11518478393554688;0.0;0.0;0.0;-0.0;811.2751023686064;945.777561100203;21.49405746457239;-19.124841959145982;28.77071577581362;-0.7271362654805488;0.0
2025-12-11_15:10:38:795877;1765462238.7798028;19.986190895287706;-18.949030121454268;188.6127173577525;-11.387282642247493;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.6288097;0.15099310874938965;0.0;0.0;0.0;-0.0;810.8739664548293;945.9267409698438;21.490235795191065;-18.967681387786794;28.663621051107707;-0.7231286906006554;0.0
2025-12-11_15:10:38:901069;1765462238.9010694;19.97875806091956;-18.69657991942009;188.70017674556905;-11.299823254430953;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.7798028;0.12126660346984863;0.0;0.0;0.0;-0.0;811.6573302043649;945.6353224655937;21.48280296082292;-18.715231185752614;28.491590011610604;-0.7166582021963961;0.0
2025-12-11_15:10:39:029512;1765462239.019897;19.973376915658292;-18.540843408431947;188.6654864482431;-11.334513551756906;59.9086285;10.719225166666666;0.0;59.9086285;10.719225166666666;0.0;1765462238.0464253;0;0.7884670815077911;0.41;0;0;0;0;0;0;59.908642;10.719224833333334;0.0;-1.5040448999033607;0.018651266332526895;1.7756608994279333e-07;1765462238.9010694;0.11882758140563965;0.0;0.0;0.0;-0.0;811.3467036760363;945.7509227979675;21.47742181556165;-18.559494674764473;28.385462660069052;-0.7126458766468592;0.0
