;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-11-24_15:40:28:280382;1763995228.2803824;59.90879233333333;10.719241833333333;0.0;59.90879233333333;10.719241833333333;0.0;1763995228.279104;0.0;1152005.2137639227;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1763995223.486587;4.793795347213745;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-11-24_15:40:31:299551;1763995231.2968802;59.9087945;10.719242666666666;0.0;59.9087945;10.719242666666666;0.0;1763995231.2968802;0.0;0.08146797262276419;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;16.674493187128782;-12.142847096551076;3.330807266621605e-05;1763995228.2803824;3.016497850418091;0.0;0.0;0.0;-0.0;307.22471641548725;682.1302929743885;3.325506812871218;-7.857152903448924;8.53193104230389;-1.1704124568639225;0.0;68.00542888331981;-17.80197346890026;20.0;-20.0
2025-11-24_15:40:31:404886;1763995231.4048862;59.90879566666667;10.719244;0.0;59.90879566666667;10.719244;0.0;1763995231.4048862;0.0;1.3875905945956961;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.24138992799516584;0.046627932847995573;4.617101340143037e-09;1763995231.2968802;0.10800600051879883;0.0;0.0;0.0;-0.0;862.7022223028472;925.8291482492799;19.758281985999176;-19.884619375010757;28.031906726573432;-0.7885850381460808;0.0;194.5811728855009;-5.418827114499084;19.99967191399434;-19.83799144216276
2025-11-24_15:40:31:519342;1763995231.5159612;59.90879483333333;10.719244833333333;0.0;59.90879483333333;10.719244833333333;0.0;1763995231.5159612;0.0;0.9353458547268233;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.3713691223991422;0.12123262144645931;1.1809751870872631e-08;1763995231.4048862;0.11107492446899414;0.0;0.0;0.0;-0.0;805.1264050433487;948.0535612149891;19.627280984989593;-19.79261493066961;27.874320882444824;-0.7895923138988873;0.0;187.97360832355466;-12.026391676445341;19.998650107388734;-19.67138230922315
2025-11-24_15:40:31:623169;1763995231.62317;59.908794666666665;10.719245;0.0;59.908794666666665;10.719245;0.0;1763995231.62317;0.0;0.1938153137944593;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.27852684329584265;0.16786055678648487;8.648100430219685e-09;1763995231.5159612;0.1072087287902832;0.0;0.0;0.0;-0.0;806.8153536415456;947.4306491042529;19.71847886767644;-19.678438288749447;27.857841666918898;-0.7843818258758732;0.0;188.16094191471993;-11.839058085280085;19.99700571097228;-19.51057773196296
2025-11-24_15:40:31:726423;1763995231.7264235;59.908795833333336;10.719247666666666;0.0;59.908795833333336;10.719247666666666;0.0;1763995231.7264235;0.0;1.9164840227317816;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.2599583884415277;0.1771861443944001;8.79102046713598e-09;1763995231.62317;0.10325360298156738;0.0;0.0;0.0;-0.0;807.2269462114914;947.2785869868968;19.734852452869564;-19.53289912159745;27.766860633334733;-0.7802552269513783;0.0;188.20665413528823;-11.79334586471178;19.994810841311093;-19.355712977203048
2025-11-24_15:40:31:837559;1763995231.8363924;59.908797666666665;10.719249;0.0;59.908797666666665;10.719249;0.0;1763995231.8358202;0.0;1.9877336843749367;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.38993759093966956;0.3263955175636441;1.9597646006008773e-08;1763995231.7264235;0.10996890068054199;0.0;0.0;0.0;-0.0;805.688978937311;947.846265118603;19.60189360444262;-19.518040620227094;27.66203431659941;-0.7832546818846037;0.0;188.03596388927252;-11.964036110727474;19.99183119538229;-19.19164510266345
2025-11-24_15:40:31:941239;1763995231.9390662;59.908798166666664;10.7192495;0.0;59.908798166666664;10.7192495;0.0;1763995231.9390662;0.0;0.6037628243090364;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.5941906140562301;0.4010001852057743;4.1292525732039564e-08;1763995231.8363924;0.10267376899719238;0.0;0.0;0.0;-0.0;805.1597222461646;948.0412898551251;19.39422675205315;-19.43846366442252;27.45887654189677;-0.786537329722509;0.0;187.97729998158405;-12.022700018415954;19.98841736610938;-19.037463479216747
2025-11-24_15:40:32:041311;1763995232.0413115;59.908799;10.719250333333333;0.0;59.908799;10.719250333333333;0.0;1763995232.0413115;0.0;1.0161194343862103;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.6498959851349977;0.4289769358922524;4.679229881343616e-08;1763995231.9390662;0.10224533081054688;0.0;0.0;0.0;-0.0;806.2110480960598;947.6537239863641;19.334518773705845;-19.312475080546225;27.32755587218701;-0.7848277777459228;0.0;188.09386888322643;-11.906131116773576;19.984414758840842;-18.883498144653974
2025-11-24_15:40:32:156465;1763995232.1564648;59.908799;10.719250333333333;0.0;59.908799;10.719250333333333;0.0;1763995232.1564648;0.0;0.0;0.52;0;0;0;0;0;0;59.90879233333333;10.719241833333333;0.0;0.7427382711596298;0.4756048519824248;6.042302336251026e-08;1763995232.0413115;0.11515331268310547;0.0;0.0;0.0;-0.0;806.1375828811291;947.6808281489521;19.23648236975604;-19.186451275024712;27.169139965976697;-0.7840960487042312;0.0;188.08571826433584;-11.914281735664154;19.97922064091567;-18.710846423042288
