;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;ugps_lat;ugps_lon;ugps_depth;ugps_x;ugps_y;ugps_z;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_15:22:23:703346;1765462943.7033467;19.598937743891696;-14.34985579339872;188.56853118391902;-11.431468816080992;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.5132103;0.19013643264770508;0.0;0.0;0.0;-0.0;810.4779080456246;946.0739371012601;19.598937743891696;-14.34985579339872;24.290671501222054;-0.631995285329374;0.0
2025-12-11_15:22:23:841032;1765462943.8250024;19.56249082926749;-14.10005767959333;188.67382142011786;-11.326178579882129;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.7033467;0.12165570259094238;0.0;0.0;0.0;-0.0;811.421348175419;945.7231490152654;19.56249082926749;-14.10005767959333;24.114366548035914;-0.6245300197716022;0.0
2025-12-11_15:22:23:943906;1765462943.9439065;19.532964982844582;-13.905356477595774;188.68922151510222;-11.310778484897773;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.8250024;0.11890411376953125;0.0;0.0;0.0;-0.0;811.5592468818234;945.6718306924258;19.532964982844582;-13.905356477595774;23.976981874081805;-0.6186624928450678;0.0
2025-12-11_15:22:24:099100;1765462944.0959797;19.50915903949634;-13.752892509986353;188.6589902553768;-11.341009744623179;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462943.9439065;0.15207314491271973;0.0;0.0;0.0;-0.0;811.2885217450992;945.7725688380308;19.50915903949634;-13.752892509986353;23.869422674618683;-0.6140373393574364;0.0
2025-12-11_15:22:24:237599;1765462944.2375991;19.470630363481845;-13.513911910143008;188.74931584708364;-11.250684152916376;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.0959797;0.14161944389343262;0.0;0.0;0.0;-0.0;812.0971319752846;945.4715494199355;19.470630363481845;-13.513911910143008;23.70087048752527;-0.6067326267520833;0.0
2025-12-11_15:22:24:376888;1765462944.3683362;19.43796194801611;-13.318147159145628;188.7749247519986;-11.22507524800138;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.2375991;0.1307370662689209;0.0;0.0;0.0;-0.0;812.3262408424446;945.3861876444403;19.43796194801611;-13.318147159145628;23.56283956668171;-0.6006978048741746;0.0
2025-12-11_15:22:24:489395;1765462944.4893956;19.400163784439968;-13.098761432952397;188.84926194857644;-11.15073805142356;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.3683362;0.12105941772460938;0.0;0.0;0.0;-0.0;812.9909293585188;945.1383569203787;19.400163784439968;-13.098761432952397;23.408201681045412;-0.5938789387418586;0.0
2025-12-11_15:22:24:686250;1765462944.6766157;19.373112273023303;-12.946062806070529;188.78660805917207;-11.213391940827922;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.4893956;0.18722009658813477;0.0;0.0;0.0;-0.0;812.4307435403458;945.3472412929161;19.373112273023303;-12.946062806070529;23.300601308161315;-0.5890972617379016;0.0
2025-12-11_15:22:24:811738;1765462944.811738;19.31731047186895;-12.641392981095956;188.96332165781362;-11.036678342186375;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.6766157;0.13512229919433594;0.0;0.0;0.0;-0.0;814.0097427570222;944.7579700079559;19.31731047186895;-12.641392981095956;23.085997928811306;-0.5794674060849813;0.0
2025-12-11_15:22:24:943883;1765462944.932258;19.283534606516852;-12.463163208706662;188.9567103974805;-11.043289602519517;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.811738;0.12051987648010254;0.0;0.0;0.0;-0.0;813.9507239367011;944.7800226139017;19.283534606516852;-12.463163208706662;22.960512713952895;-0.5737776237771308;0.0
2025-12-11_15:22:25:064797;1765462945.0647976;19.246002368949455;-12.270103619296435;188.99788163750173;-11.002118362498278;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462944.932258;0.1325397491455078;0.0;0.0;0.0;-0.0;814.3181905914321;944.6426829107007;19.246002368949455;-12.270103619296435;22.824636908697574;-0.5675663340923394;0.0
2025-12-11_15:22:25:174252;1765462945.1742527;19.211751676242336;-12.098194479696033;189.0471481141824;-10.952851885817614;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.0647976;0.10945510864257812;0.0;0.0;0.0;-0.0;814.7576920394379;944.4783127359755;19.211751676242336;-12.098194479696033;22.70369379942717;-0.5619926188659328;0.0
2025-12-11_15:22:25:305244;1765462945.3042445;19.176541878215247;-11.925437072853587;189.06736668378812;-10.932633316211879;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.1742527;0.12999176979064941;0.0;0.0;0.0;-0.0;814.9379913359722;944.4108482462277;19.176541878215247;-11.925437072853587;22.582201128001977;-0.5563499111056699;0.0
2025-12-11_15:22:25:428159;1765462945.423742;19.137179143708067;-11.73675556011429;189.13357936835072;-10.866420631649277;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.3042445;0.11949753761291504;0.0;0.0;0.0;-0.0;815.5281645956313;944.1898787472346;19.137179143708067;-11.73675556011429;22.44956695921435;-0.5501386569396611;0.0
2025-12-11_15:22:25:610500;1765462945.5957499;19.100444375807847;-11.564642887562108;189.11914562360548;-10.880854376394536;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.423742;0.17200779914855957;0.0;0.0;0.0;-0.0;815.3995487646005;944.2380524348836;19.100444375807847;-11.564642887562108;22.32863498895914;-0.5444279023096636;0.0
2025-12-11_15:22:25:740425;1765462945.7394457;19.04054231396229;-11.29161003217471;189.26113916828183;-10.738860831718178;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.5957499;0.14369583129882812;0.0;0.0;0.0;-0.0;816.6639405671925;943.7640316134256;19.04054231396229;-11.29161003217471;22.136908292001777;-0.5352786297004923;0.0
2025-12-11_15:22:25:867789;1765462945.8649893;18.997174057938217;-11.09941487907282;189.29051672899726;-10.709483271002734;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.7394457;0.12554359436035156;0.0;0.0;0.0;-0.0;816.9252908597531;943.665929994444;18.997174057938217;-11.09941487907282;22.002037015817056;-0.5287705117705862;0.0
2025-12-11_15:22:26:010227;1765462946.008232;18.954167334671396;-10.913039712730136;189.3229088099748;-10.677091190025209;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462945.8649893;0.14324283599853516;0.0;0.0;0.0;-0.0;817.2133622090056;943.557750048714;18.954167334671396;-10.913039712730136;21.871325865670542;-0.5224047899218903;0.0
2025-12-11_15:22:26:144612;1765462946.1446126;18.904570499258064;-10.702990036132077;189.39935549088136;-10.600644509118634;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462946.008232;0.13638043403625488;0.0;0.0;0.0;-0.0;817.8928204862273;943.3023916120341;18.904570499258064;-10.702990036132077;21.724105999441285;-0.5151645434038176;0.0
2025-12-11_15:22:26:275099;1765462946.2741067;18.855086849076372;-10.498304048711496;189.46524198924047;-10.534758010759523;59.909461975097656;10.721976280212402;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765462908.9499962;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765462946.1446126;0.12949419021606445;0.0;0.0;0.0;-0.0;818.4779672789508;943.0822523726891;18.855086849076372;-10.498304048711496;21.580748086788024;-0.5080405120108444;0.0
