;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-11-24_15:31:27:731974;1763994687.7319748;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1763994654.210802;33.521172761917114;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-11-24_15:31:30:857973;1763994690.8579733;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1763994687.7319748;3.1259984970092773;0.0;0.0;0.0;-0.0;918.5442465671308;880.4747782275015;5403647.344084047;1186315.5269152317;5532336.680700727;0.21611128501261273;0.0;196.71294735495815;3.2870526450418405;-20.0;-20.15
2025-11-24_15:31:30:980787;1763994690.979657;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994690.8579733;0.12168359756469727;0.0;0.0;0.0;-0.0;0.954929658551372;1090.502138732007;-20.0;-20.15;28.39053539474027;-2.3524585175366846;0.0;-99.00617285958167;-75.0428811096152;-20.0;-20.299999999999997
2025-11-24_15:31:31:089366;1763994691.089366;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994690.979657;0.10970902442932129;0.0;0.0;0.0;-0.0;198.5095627806;884.554855366354;-20.0;-20.299999999999997;28.497192844208357;-2.3487504589610935;0.0;-99.85872938455056;-35.66162828554697;-20.0;-20.449999999999996
2025-11-24_15:31:31:192163;1763994691.1921632;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.089366;0.10279726982116699;0.0;0.0;0.0;-0.0;208.66877798620698;886.1884331149977;-20.0;-20.449999999999996;28.60423919631494;-2.3450701036150807;0.0;-100.71282512488307;-35.601924420428396;-20.0;-20.599999999999994
2025-11-24_15:31:31:295067;1763994691.2950673;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.1921632;0.10290408134460449;0.0;0.0;0.0;-0.0;218.2578668187777;887.8501810145515;-20.0;-20.599999999999994;28.711670101197523;-2.341417240784853;0.0;-101.56844980147875;-35.54693042679671;-20.0;-20.749999999999993
2025-11-24_15:31:31:403163;1763994691.4031632;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.2950673;0.10809588432312012;0.0;0.0;0.0;-0.0;227.37684549567996;889.5327714512978;-20.0;-20.749999999999993;28.819481258343284;-2.337791659958033;0.0;-102.42559312249367;-35.495425975944144;-20.0;-20.89999999999999
2025-11-24_15:31:31:598074;1763994691.5972986;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.4031632;0.19413542747497559;0.0;0.0;0.0;-0.0;235.61211194458295;891.3598985885978;-20.0;-20.89999999999999;28.927668416241218;-2.334193150885887;0.0;-103.28424478680935;-35.46860072328689;-20.0;-21.04999999999999
2025-11-24_15:31:31:702124;1763994691.7009392;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.5972986;0.10364055633544922;0.0;0.0;0.0;-0.0;244.80022295220914;892.853554974852;-20.0;-21.04999999999999;29.03622737202613;-2.330621503643121;0.0;-104.1443944873832;-35.38465399465968;-20.0;-21.19999999999999
2025-11-24_15:31:31:803559;1763994691.8035595;0.0;0.0;0.0;0.0;0.0;0.0;1763994654.1734667;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1763994691.7009392;0.10262036323547363;0.0;0.0;0.0;-0.0;253.053631039642;894.5221111670718;-20.0;-21.19999999999999;29.145153971114986;-2.3270765086853062;0.0;-105.00603191448339;-35.33058045911403;-20.0;-21.349999999999987
