;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-12-11_14:39:18:696999;1765460358.697;-20.0;-20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1765460351.9824135;6.714586496353149;0.0;0.0;0.0;-0.0;;;;;;;
2025-12-11_14:39:21:821582;1765460361.8215823;19.999999958139583;-19.998170018196745;196.71297093142036;3.287029068579636;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1765460358.697;3.124582290649414;0.0;0.0;0.0;-0.0;918.5441656799189;880.4749728001514;5403687.344084005;1186315.5287452135;5532375.750647788;0.2161097349493513;0.0
2025-12-11_14:39:21:936635;1765460361.936636;19.99964930479537;-19.83250225857303;171.93209344972345;-28.06790655027655;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460361.8215823;0.11505365371704102;0.0;0.0;0.0;-0.0;644.2825148048825;999.9557457969969;19.99964930479537;-19.83250225857303;28.16583245975709;-0.7812019033766905;0.0
2025-12-11_14:39:22:046679;1765460362.0466793;19.99860040129702;-19.665386884055668;188.13016577347287;-11.869834226527145;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460361.936636;0.11004328727722168;0.0;0.0;0.0;-0.0;806.5381271325627;947.5330124723764;19.99860040129702;-19.665386884055668;28.04766406156395;-0.7769974527906367;0.0
2025-12-11_14:39:22:160322;1765460362.160323;19.996879014951816;-19.50033104628457;188.12930840921675;-11.870691590783252;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.0466793;0.11364364624023438;0.0;0.0;0.0;-0.0;806.5304027695578;947.5358639611204;19.996879014951816;-19.50033104628457;27.930952029125503;-0.7728271030397148;0.0
2025-12-11_14:39:22:275980;1765460362.27598;19.994310854530227;-19.325389541138048;188.13777011200926;-11.862229887990734;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.160323;0.11565709114074707;0.0;0.0;0.0;-0.0;806.6066346485392;947.5077209960771;19.994310854530227;-19.325389541138048;27.807249908329897;-0.7683874337980595;0.0
2025-12-11_14:39:22:387555;1765460362.3875556;19.99099789954129;-19.151420599540653;188.14810237480367;-11.851897625196344;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.27598;0.11157560348510742;0.0;0.0;0.0;-0.0;806.6997087221355;947.4733555604735;19.99099789954129;-19.151420599540653;27.68423573082657;-0.7639521564232619;0.0
2025-12-11_14:39:22:500604;1765460362.5006044;19.98722425708985;-18.989111176634662;188.14564921046167;-11.854350789538335;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.3875556;0.11304879188537598;0.0;0.0;0.0;-0.0;806.6776113405265;947.481514976157;19.98722425708985;-18.989111176634662;27.56946638551048;-0.759795577247813;0.0
2025-12-11_14:39:22:615232;1765460362.6152325;19.98257945593337;-18.819601740947114;188.15372045354724;-11.846279546452749;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.5006044;0.11462807655334473;0.0;0.0;0.0;-0.0;806.7503124399086;947.4546691282374;19.98257945593337;-18.819601740947114;27.44960639791671;-0.7554351658260088;0.0
2025-12-11_14:39:22:721641;1765460362.7216413;19.977136077611817;-18.64774594394854;188.17221612792494;-11.827783872075067;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.6152325;0.10640883445739746;0.0;0.0;0.0;-0.0;806.9168860966669;947.3931475989858;19.977136077611817;-18.64774594394854;27.328088016790876;-0.7509937715535303;0.0
2025-12-11_14:39:22:843924;1765460362.8439245;19.971421877830785;-18.48823511600828;188.1566316330588;-11.8433683669412;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.7216413;0.1222832202911377;0.0;0.0;0.0;-0.0;806.7765330571303;947.4449860362772;19.971421877830785;-18.48823511600828;27.215299548729938;-0.746852522365908;0.0
2025-12-11_14:39:22:944690;1765460362.9446902;19.964069264539063;-18.304957870988297;188.20227204406814;-11.797727955931864;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.8439245;0.10076570510864258;0.0;0.0;0.0;-0.0;807.1874989826985;947.2931651110028;19.964069264539063;-18.304957870988297;27.08570737968587;-0.7420713996479472;0.0
2025-12-11_14:39:23:065323;1765460363.0653236;19.95720461230765;-18.15018931504325;188.17595154579502;-11.824048454204977;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460362.9446902;0.12063336372375488;0.0;0.0;0.0;-0.0;806.9505234223807;947.3807221213433;19.95720461230765;-18.15018931504325;26.97627454096328;-0.7380146364939134;0.0
2025-12-11_14:39:23:178737;1765460363.1787374;19.94861902588194;-17.97321981336319;188.20250856671734;-11.797491433282653;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.0653236;0.11341381072998047;0.0;0.0;0.0;-0.0;807.1896281895694;947.2923782648917;19.94861902588194;-17.97321981336319;26.851145813526283;-0.7333538685266365;0.0
2025-12-11_14:39:23:293316;1765460363.2933168;19.939637821463144;-17.803336464009377;188.20900318931234;-11.790996810687652;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.1787374;0.11457943916320801;0.0;0.0;0.0;-0.0;807.2480914111568;947.2707721779076;19.939637821463144;-17.803336464009377;26.731029641632762;-0.7288571935368305;0.0
2025-12-11_14:39:23:408315;1765460363.4083154;19.929830702825953;-17.63174747046304;188.22095901382662;-11.779040986173383;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.2933168;0.11499857902526855;0.0;0.0;0.0;-0.0;807.3557041495243;947.2309966636059;19.929830702825953;-17.63174747046304;26.60971008307839;-0.7242925771479489;0.0
2025-12-11_14:39:23:521483;1765460363.5214837;19.919246480762112;-17.45957475839938;188.2358013456899;-11.764198654310084;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.4083154;0.11316823959350586;0.0;0.0;0.0;-0.0;807.4892779920377;947.1816157809523;19.919246480762112;-17.45957475839938;26.487980880117885;-0.7196890108355976;0.0
2025-12-11_14:39:23:637120;1765460363.6371207;19.907700407376147;-17.284222359045252;188.2497602868759;-11.750239713124094;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.5214837;0.11563706398010254;0.0;0.0;0.0;-0.0;807.6148815846964;947.1351716162557;19.907700407376147;-17.284222359045252;26.364007245992862;-0.7149758902147911;0.0
2025-12-11_14:39:23:738038;1765460363.7380383;19.895979979677662;-17.117157399170196;188.27561022336522;-11.72438977663479;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.6371207;0.10091757774353027;0.0;0.0;0.0;-0.0;807.8474296710361;947.0491577383597;19.895979979677662;-17.117157399170196;26.245896760821516;-0.7104620889535366;0.0
2025-12-11_14:39:23:848920;1765460363.8476737;19.884784459918933;-16.966195690917253;188.27008453478282;-11.729915465217166;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.7380383;0.1096353530883789;0.0;0.0;0.0;-0.0;807.7977257623761;947.0675447418499;19.884784459918933;-16.966195690917253;26.139174609002723;-0.7063633795320827;0.0
2025-12-11_14:39:23:956834;1765460363.956834;19.871824909914423;-16.80037840469719;188.2928234095743;-11.707176590425687;0.0;0.0;0.0;0.0;0.0;0.0;1765460351.976917;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1765460363.8476737;0.1091604232788086;0.0;0.0;0.0;-0.0;808.0022437424097;946.9918777171755;19.871824909914423;-16.80037840469719;26.02195495713785;-0.7018391050424538;0.0
