;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:20:15:529927;1742901615.5299277;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.4198046;0.1101231575012207;0.0;0.0;0.0;-0.0;283.58505780039104;901.2610709522697;-20.0;-21.799999999999983;29.584455377782422;-2.3131588771689677;0.0;-108.46725277109786;-35.12503633289051;-20.0;-21.94999999999998
2025-03-25_12:20:15:638465;1742901615.637462;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.5299277;0.10753417015075684;0.0;0.0;0.0;-0.0;290.76020555349993;902.9406305340495;-20.0;-21.94999999999998;29.69515953821429;-2.3097440175330792;0.0;-109.33617430308709;-35.072686118353225;-20.0;-22.09999999999998
2025-03-25_12:20:15:747997;1742901615.7479978;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.637462;0.11053586006164551;0.0;0.0;0.0;-0.0;297.74156914913243;904.6304492310056;-20.0;-22.09999999999998;29.806207407182807;-2.306354563845515;0.0;-110.20652181391718;-35.02209589249764;-20.0;-22.24999999999998
2025-03-25_12:20:15:858061;1742901615.8580618;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.7479978;0.11006402969360352;0.0;0.0;0.0;-0.0;304.5703943587569;906.3210415655534;-20.0;-22.24999999999998;29.917595157365156;-2.3029903106488545;0.0;-111.0782850563994;-34.97162925549671;-20.0;-22.399999999999977
2025-03-25_12:20:15:967588;1742901615.967589;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.8580618;0.1095271110534668;0.0;0.0;0.0;-0.0;311.2616954896055;908.0106517188042;-20.0;-22.399999999999977;30.029319006597518;-2.299651053247528;0.0;-111.95145380266315;-34.92098492753053;-20.0;-22.549999999999976
2025-03-25_12:20:16:078278;1742901616.077237;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901615.967589;0.10964798927307129;0.0;0.0;0.0;-0.0;317.80947199223806;909.7043700114419;-20.0;-22.549999999999976;30.141375217464763;-2.296336587746478;0.0;-112.82601784646;-34.871054977196984;-20.0;-22.699999999999974
2025-03-25_12:20:16:187221;1742901616.1872213;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.077237;0.1099843978881836;0.0;0.0;0.0;-0.0;324.22614073226976;911.400803787436;-20.0;-22.699999999999974;30.25376009688711;-2.2930467110880137;0.0;-113.70196700537608;-34.821603760785145;-20.0;-22.849999999999973
2025-03-25_12:20:16:296899;1742901616.2959025;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.1872213;0.10868120193481445;0.0;0.0;0.0;-0.0;330.53417343839885;913.0945218502333;-20.0;-22.849999999999973;30.366469995704122;-2.289781221086906;0.0;-114.57929112295592;-34.77168587815937;-20.0;-22.99999999999997
2025-03-25_12:20:16:404433;1742901616.4044333;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.2959025;0.10853075981140137;0.0;0.0;0.0;-0.0;336.7176267274178;914.7936096705491;-20.0;-22.99999999999997;30.479501308256317;-2.286539916463777;0.0;-115.45798007073886;-34.72272265561053;-20.0;-23.14999999999997
2025-03-25_12:20:16:512545;1742901616.5125453;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901616.4044333;0.10811209678649902;0.0;0.0;0.0;-0.0;342.7942646359685;916.4938695367036;-20.0;-23.14999999999997;30.59285047196483;-2.2833225968768316;0.0;-116.33802375021176;-34.67398475722831;-20.0;-23.29999999999997
