;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-11-24_16:53:36:787686;1763999616.7876863;0.0;0.0;0.0;0.0;0.0;0.0;1763999605.7394607;0.0;0.0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1763999605.750811;11.036875247955322;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2025-11-24_16:53:39:799973;1763999619.799973;59.90864833333333;10.719197;0.0;59.90864833333333;10.719197;0.0;1763999619.799973;0.0;393131.9942030388;0.51;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;1763999616.7876863;3.01228666305542;0.0;0.0;0.0;-0.0;918.5441656630594;880.4749728407069;5403687.344084047;1186315.5269152317;5532375.750255424;0.216109734626267;0.0;196.71297093633447;3.2870290636655186;20.0;-20.0
2025-11-24_16:53:39:904033;1763999619.9013157;59.90864783333333;10.719199333333334;0.0;59.90864783333333;10.719199333333334;0.0;1763999619.9013157;0.0;1.400654351867841;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.295985877;596286.749515668;3228163.889039658;1763999619.799973;0.10134267807006836;0.0;0.0;0.0;-0.0;0.954929658551372;1220.542110961722;-5495361.296274729;-596306.5975020168;5527619.499822568;-3.0335046616779713;0.0;-94.21836674638504;-105.78163325361496;19.99971114708019;-19.84798634880918
2025-11-24_16:53:40:012276;1763999620.0100508;59.908648166666666;10.719210166666667;0.0;59.908648166666666;10.719210166666667;0.0;1763999620.0100508;0.0;5.585155308860543;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.268056312;596286.8867608631;3228163.865966283;1763999619.9013157;0.1087350845336914;0.0;0.0;0.0;-0.0;390.47031487723734;1055.373494917697;-5495361.269297536;-596306.5716474786;5527619.470213683;-3.033504665801522;0.0;-153.86039396262223;-46.13960603737777;19.99875877517855;-19.68488661552277
2025-11-24_16:53:40:127224;1763999620.12614;59.90864833333333;10.719207166666667;0.0;59.90864833333333;10.719207166666667;0.0;1763999620.1253686;0.0;1.4645193038445687;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.286676021;596287.4763729804;3228164.010281851;1763999620.0100508;0.1160893440246582;0.0;0.0;0.0;-0.0;390.4703595120914;1055.37348775565;-5495361.289653923;-596306.9882917168;5527619.535397889;-3.0335045912636898;0.0;-153.86039636113503;-46.139603638864955;19.99702209765219;-19.511918736353874
2025-11-24_16:53:40:230996;1763999620.2289073;59.90864833333333;10.719198;0.0;59.90864833333333;10.719198;0.0;1763999620.2289073;0.0;4.953792749476477;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.295985877;596287.3084525804;3228163.994845906;1763999620.12614;0.1027672290802002;0.0;0.0;0.0;-0.0;390.4703012178322;1055.3734971094657;-5495361.301145561;-596306.6659978057;5527619.512054141;-3.033504649453793;0.0;-153.86039322861612;-46.13960677138389;19.99484031550233;-19.357545225351068
2025-11-24_16:53:40:333859;1763999620.3338594;59.90865016666667;10.719198333333333;0.0;59.90865016666667;10.719198333333333;0.0;1763999620.3338594;0.0;1.9542516468762814;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.295985877;596286.80449307;3228163.8994468255;1763999620.2289073;0.10495209693908691;0.0;0.0;0.0;-0.0;390.47024778384804;1055.3735056834073;-5495361.3040022105;-596306.0037169193;5527619.443448845;-3.033504768623376;0.0;-153.8603903572709;-46.139609642729106;19.991983666187608;-19.19922384939151
2025-11-24_16:53:40:452274;1763999620.4500809;59.90864966666667;10.719196166666666;0.0;59.90864966666667;10.719196166666666;0.0;1763999620.4500809;0.0;1.1479703985749408;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.398394277;596286.789948708;3228164.0765573643;1763999620.3338594;0.11622142791748047;0.0;0.0;0.0;-0.0;390.4702661536336;1055.3735027358175;-5495361.410280445;-596305.8148835102;5527619.5287359785;-3.0335048046599455;0.0;-153.86039134439537;-46.13960865560463;19.988113832238298;-19.024934802204527
2025-11-24_16:53:40:558213;1763999620.55605;59.90864916666666;10.719199;0.0;59.90864916666666;10.719199;0.0;1763999620.55605;0.0;1.585721544801178;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.370464714;596286.6797955983;3228164.006651734;1763999620.4500809;0.10596919059753418;0.0;0.0;0.0;-0.0;390.47024766594154;1055.3735057023264;-5495361.386541364;-596305.5458319654;5527619.476110831;-3.0335048525866344;0.0;-153.86039035093503;-46.139609649064965;19.983923350258877;-18.86603636715156
2025-11-24_16:53:40:665537;1763999620.6633584;59.9086495;10.719199333333334;0.0;59.9086495;10.719199333333334;0.0;1763999620.6622117;0.0;0.39145441281068266;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.342535149;596286.8445294881;3228163.9887819393;1763999620.55605;0.10730838775634766;0.0;0.0;0.0;-0.0;390.47026419971456;1055.3735030493408;-5495361.363443013;-596305.5513968723;5527619.453747606;-3.0335048511349747;0.0;-153.86039123939898;-46.13960876060103;19.979092136237405;-18.706867384124703
2025-11-24_16:53:40:779621;1763999620.7796214;59.9086495;10.719199333333334;0.0;59.9086495;10.719199333333334;0.0;1763999620.7796214;0.0;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.36115486;596286.8568788945;3228164.0238221744;1763999620.6633584;0.11626291275024414;0.0;0.0;0.0;-0.0;390.4702464964728;1055.3735058899777;-5495361.388094734;-596305.3890695717;5527619.46074401;-3.033504880811286;0.0;-153.8603902880921;-46.1396097119079;19.97306012544101;-18.532190677275178
2025-11-24_16:53:40:886667;1763999620.8846698;59.908649833333335;10.719201166666666;0.0;59.908649833333335;10.719201166666666;0.0;1763999620.8835552;0.0;1.0496794628483028;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.36115486;596286.8568788945;3228164.0238221744;1763999620.7796214;0.10504841804504395;0.0;0.0;0.0;-0.0;390.47023794951184;1055.3735072614109;-5495361.394173293;-596305.2319529022;5527619.449837755;-3.0335049091879696;0.0;-153.86038982880999;-46.139610171190014;19.96698156628038;-18.3750740076533
2025-11-24_16:53:40:988075;1763999620.986955;59.908649833333335;10.719201166666666;0.0;59.908649833333335;10.719201166666666;0.0;1763999620.986955;0.0;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.3797745695;596286.951694399;3228164.074473164;1763999620.8846698;0.10228514671325684;0.0;0.0;0.0;-0.0;390.4702403129714;1055.3735068821734;-5495361.419394073;-596305.1718094086;5527619.468423228;-3.033504920497225;0.0;-153.86038995581356;-46.13961004418643;19.96038049644916;-18.220115009612805
2025-11-24_16:53:41:094666;1763999621.0946665;59.90864916666666;10.719201833333333;0.0;59.90864916666666;10.719201833333333;0.0;1763999621.0946665;0.0;0.7716428309859406;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.3797745695;596286.951694399;3228164.074473164;1763999620.986955;0.1077115535736084;0.0;0.0;0.0;-0.0;390.4702263673222;1055.3735091198723;-5495361.426909312;-596305.010417067;5527619.458484027;-3.0335049496709434;0.0;-153.8603892064259;-46.1396107935741;19.952865257953192;-18.05872266797421
2025-11-24_16:53:41:208137;1763999621.205613;59.90864916666666;10.719201833333333;0.0;59.90864916666666;10.719201833333333;0.0;1763999621.2043955;0.0;0.0;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.342535149;596287.0002987884;3228164.0182689214;1763999621.0946665;0.1109464168548584;0.0;0.0;0.0;-0.0;390.47022378625707;1055.3735095340262;-5495361.397996152;-596304.8946387296;5527619.417249737;-3.033504969929864;0.0;-153.860389067729;-46.139610932271;19.944538997422192;-17.894339941154392
2025-11-24_16:53:41:312956;1763999621.312234;59.90864933333334;10.719202333333333;0.0;59.90864933333334;10.719202333333333;0.0;1763999621.3113525;0.0;0.3139409612880918;0.51;0;0;0;0;0;0;0.0;0.0;0.0;5495381.342535149;596287.0002987884;3228164.0182689214;1763999621.205613;0.10662102699279785;0.0;0.0;0.0;-0.0;390.4702124941117;1055.3735113459477;-5495361.406762989;-596304.7344431058;5527619.408683938;-3.033504998912775;0.0;-153.86038846093084;-46.13961153906915;19.935772160127023;-17.73414431738838
