;current_time;target_north_from_observer;target_east_from_observer;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle
2025-11-25_13:44:33:782605;1764074673.782606;-20.0;-20.0;0.0;0.0;59.908721666666665;10.719249166666666;0.0;59.908721666666665;10.719249166666666;0.0;1764074673.782606;29.6;81061.6179848516;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1764074605.5982938;68.18431210517883;0.0;0.0;0.0;-0.0;;;;;;;
2025-11-25_13:44:36:800533;1764074676.8005338;-20.0;-20.15;-37.086209012842716;-43.53191366375483;59.908720333333335;10.71925;0.0;59.908720333333335;10.71925;0.0;1764074676.8005338;29.6;0.051589653963718445;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;8.801466566496243;-11.732546189254245;1.6831003607720163e-05;1764074673.782606;3.017927885055542;0.0;0.0;0.0;-0.0;0.954929658551372;778.5355006747471;-28.801466566496245;-8.267453810745755;29.964566889808626;-2.8620587550134666;0.0
2025-11-25_13:44:36:906142;1764074676.9061425;-20.0;-20.299999999999997;-99.35977835193358;-26.64545468614464;59.908718666666665;10.71925;0.0;59.908718666666665;10.71925;0.0;1764074676.9061425;29.6;1.7582316213395903;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.14854764464178874;0.04662803708649197;2.9327778539034455e-09;1764074676.8005338;0.10560870170593262;0.0;0.0;0.0;-0.0;362.3279164339889;828.5260543176125;-19.851452355358212;-20.19662803708649;28.319321049161566;-2.347575671729892;0.0
2025-11-25_13:44:37:015240;1764074677.01524;-20.0;-20.449999999999996;-100.32883485730204;-35.43578697630311;59.908718;10.719248833333333;0.0;59.908718;10.719248833333333;0.0;1764074677.01524;29.6;0.906379128553912;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.33423220346977967;0.04662803940773262;1.0496444602381416e-08;1764074676.9061425;0.10909748077392578;0.0;0.0;0.0;-0.0;209.02945649130436;884.3183935969241;-19.665767796530222;-20.34662803940773;28.29713228581755;-2.3391798994583217;0.0
2025-11-25_13:44:37:126077;1764074677.126077;-20.0;-20.599999999999994;-100.85997780744454;-35.45202544067506;59.908717333333335;10.719247833333334;0.0;59.908717333333335;10.719247833333334;0.0;1764074677.126077;29.6;0.8389930651392776;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.40850602717344414;-0.01865121605708378;1.2776136038006314e-08;1764074677.01524;0.11083698272705078;0.0;0.0;0.0;-0.0;213.79853561875368;885.6488353028753;-19.591493972826555;-20.431348783942912;28.30665379762194;-2.3352131827516374;0.0
2025-11-25_13:44:37:245578;1764074677.2455783;-20.0;-20.749999999999993;-101.44626128143325;-35.389618133119015;59.9087165;10.719249166666666;0.0;59.9087165;10.719249166666666;0.0;1764074677.2455783;29.6;0.9966683044517793;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.48277984963564186;-0.07460486567365317;2.0080788504239777e-08;1764074677.126077;0.11950135231018066;0.0;0.0;0.0;-0.0;220.84504663544809;886.6432692328317;-19.51722015036436;-20.52539513432634;28.323377761453806;-2.3310222573758206;0.0
2025-11-25_13:44:37:367342;1764074677.367342;-20.0;-20.89999999999999;-102.79760504034311;-35.21668049688293;59.90871633333333;10.719250166666667;0.0;59.90871633333333;10.719250166666667;0.0;1764074677.367342;29.6;0.48416896848539676;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.5756221282499435;-2.484019934190229e-11;2.540241564319423e-08;1764074677.2455783;0.12176370620727539;0.0;0.0;0.0;-0.0;236.92822550132118;888.7606414186312;-19.424377871750057;-20.749999999975152;28.4230356525038;-2.323209751966003;0.0
2025-11-25_13:44:37:490259;1764074677.4882345;-20.0;-21.04999999999999;-103.99726432256847;-35.17072313929066;59.908715;10.719249666666666;0.0;59.908715;10.719249666666666;0.0;1764074677.4882345;29.6;1.2503602495687693;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.5941905841864217;0.055953651232006754;2.8926290751574157e-08;1764074677.367342;0.12089252471923828;0.0;0.0;0.0;-0.0;248.09351552854156;891.2650207714807;-19.40580941581358;-20.955953651231997;28.56111749416438;-2.3178071003384257;0.0
2025-11-25_13:44:37:601777;1764074677.5997648;-20.0;-21.19999999999999;-104.80490342788237;-35.039515304517465;59.90871466666667;10.7192485;0.0;59.90871466666667;10.7192485;0.0;1764074677.5997648;29.6;0.673390769552529;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.7427382306349375;0.027976826715319772;4.3728793974739943e-08;1764074677.4882345;0.11153030395507812;0.0;0.0;0.0;-0.0;257.3727807449158;892.3619779885613;-19.257261769365062;-21.07797682671531;28.550363184404446;-2.3110855479207677;0.0
2025-11-25_13:44:37:702883;1764074677.702884;-20.0;-21.349999999999987;-105.32181055302785;-35.05326736114851;59.90871466666667;10.7192485;0.0;59.90871466666667;10.7192485;0.0;1764074677.702884;29.6;0.0;0.47;0;0;0;0;0;0;59.908721666666665;10.719249166666666;0.0;-0.7798751417869354;-0.037302435833608816;4.904154249363302e-08;1764074677.5997648;0.1031191349029541;0.0;0.0;0.0;-0.0;261.1983354947032;893.6331765548457;-19.220124858213065;-21.16269756416638;28.58798642363035;-2.3081276067338576;0.0
