"filename", "language", "Python", "YAML", "Dotenv", "Properties", "CSV", "Batch", "C++", "PowerShell", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\connection_testing\testing_auc.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 4, 10, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\hardware in the loop\csv_to_otter.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 30, 68
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\hardware in the loop\force_array.csv", "CSV", 0, 0, 0, 0, 15002, 0, 0, 0, 0, 1, 15003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Connector.py", "Python", 242, 0, 0, 0, 0, 0, 0, 0, 57, 99, 398
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Control.py", "Python", 199, 0, 0, 0, 0, 0, 0, 0, 47, 112, 358
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Control_no_mapping.py", "Python", 275, 0, 0, 0, 0, 0, 0, 0, 145, 145, 565
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_DRL.py", "Python", 492, 0, 0, 0, 0, 0, 0, 0, 30, 169, 691
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_guidance.py", "Python", 865, 0, 0, 0, 0, 0, 0, 0, 140, 295, 1300
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Live_plotter.py", "Python", 189, 0, 0, 0, 0, 0, 0, 0, 48, 62, 299
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\PID_Cascade.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 64, 52, 270
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\PID_Controller_test_v2.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 8, 34, 86
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\PID_Controller_v3.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 11, 31, 138
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\Performance_metrics.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 4, 12, 46
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\gnc.py", "Python", 149, 0, 0, 0, 0, 0, 0, 0, 158, 81, 388
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\live_DRL_decoupled.py", "Python", 394, 0, 0, 0, 0, 0, 0, 0, 110, 160, 664
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plotTimeSeries.py", "Python", 367, 0, 0, 0, 0, 0, 0, 0, 58, 125, 550
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_comparative_from_csv.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 30, 81, 378
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_experiment_from_csv.py", "Python", 385, 0, 0, 0, 0, 0, 0, 0, 1, 119, 505
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_sim_from_log.py", "Python", 542, 0, 0, 0, 0, 0, 0, 0, 40, 197, 779
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_wave_forces.py", "Python", 114, 0, 0, 0, 0, 0, 0, 0, 3, 32, 149
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\plot_wind_forces.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 14, 53, 193
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\lib\throttle_map_v2_noneg.csv", "CSV", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\local_server.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 3, 13, 46
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\DRL_station_10_dist_1.csv", "CSV", 0, 0, 0, 0, 871, 0, 0, 0, 0, 1, 872
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\DRL_station_10_dist_2.csv", "CSV", 0, 0, 0, 0, 797, 0, 0, 0, 0, 1, 798
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\DRL_station_10_general_1.csv", "CSV", 0, 0, 0, 0, 808, 0, 0, 0, 0, 1, 809
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\DRL_straight_10_dist.csv", "CSV", 0, 0, 0, 0, 285, 0, 0, 0, 0, 1, 286
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\DRL_straight_10_general.csv", "CSV", 0, 0, 0, 0, 335, 0, 0, 0, 0, 1, 336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\IO.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 2, 14, 44
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\NMPC_station_currentbest.csv", "CSV", 0, 0, 0, 0, 1395, 0, 0, 0, 0, 1, 1396
