"filename", "language", "Python", "CSV", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\drl_sim_logs\sim_log_DRL.csv", "CSV", 0, -2669, 0, -1, -2670
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\mpc_sim_station_dist\sim_log_NMPC.csv", "CSV", 0, 7502, 0, 1, 7503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\mpc_sim_station_nodist\sim_log_NMPC.csv", "CSV", 0, 7502, 0, 1, 7503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\mpn_sim_track_nodist\sim_log_NMPC.csv", "CSV", 0, 5002, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\nmpc_sim_logs\sim_log_nmpc.csv", "CSV", 0, -13335, 0, -1, -13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_logs\sim_log_PID.csv", "CSV", 0, -13335, 0, -1, -13336
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_station_dist_param4\sim_log_PID.csv", "CSV", 0, 7502, 0, 1, 7503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_station_nodist_param4\sim_log_PID.csv", "CSV", 0, 7502, 0, 1, 7503
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_track_dist\sim_log_PID.csv", "CSV", 0, 5002, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\sim_logs\pid_sim_track_nodist\sim_log_PID.csv", "CSV", 0, 5002, 0, 1, 5003
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\main.py", "Python", 22, 0, 1, 1, 24
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\monte_carlo_results.csv", "CSV", 0, 90, 0, 0, 90
"Total", "-", 1670, 478510, 337, 618, 481135
