;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_14:57:55:034775;1777985874.9761474;0.003577880313156534;-61.75412545441799;1.788940156578267e-05;-0.5369923952558086;1.788940156578267e-05;-0.5369923952558086;9.903376481211147;1.5732059465378185;0.0;7.299999999999994;59.90847051666667;10.7200005;0.0;59.90847051666667;10.7200005;0.0;1777985874.9724975;101.008;1.7859976574998233;0.58;-0.731;0.727;-131.046;6.499;5.849;-8.468;59.90847045;10.719993516666667;0.0;0.007427400869781742;0.3907458847562855;1.2596025714215614e-08;1777985874.9569805;0.019166946411132812;-0.4843873481115517;1.3623399965343042;-2.287184171568489;-131.046;-0.7093730560549354;-1.2599171546220453;-0.016711627213266588;6.9353660129510235;-2.287184171568489
2026-05-05_14:57:55:218270;1777985875.1289737;0.00019386905690569776;-62.63894176015704;9.693452845284888e-07;-0.5446864500883221;9.693452845284888e-07;-0.5446864500883221;9.884286852434546;1.5718951755367394;0.0;7.149999999999993;59.90847051666667;10.7200005;0.0;59.90847051666667;10.7200005;0.0;1777985875.1289737;110.347;0.0;0.58;0.081;1.564;-132.345;6.849;6.892;-12.55;59.90847045;10.719993516666667;0.0;0.007427400869781742;0.3907458847562855;1.2596025714215614e-08;1777985875.0557563;0.07321739196777344;0.0;0.0;-2.3098559985518956;-132.345;-0.0;0.0;-0.007427400869781742;6.759254115243707;-2.3098559985518956
2026-05-05_14:57:55:312627;1777985875.2362866;0.000667006993092416;-62.637809664550915;3.3350349654620797e-06;-0.5446766057787036;3.3350349654620797e-06;-0.5446766057787036;9.862897895560089;1.5685363272172683;0.0;6.999999999999993;59.908470316666666;10.72000115;0.0;59.908470316666666;10.72000115;0.0;1777985875.2362866;113.782;0.0;0.58;1.137;2.418;-135.961;2.956;-0.678;-17.265;59.90847045;10.719993516666667;0.0;-0.014854740288317875;0.4271160292793149;1.3647031673127974e-08;1777985875.220079;0.01620769500732422;0.0;0.0;-2.372967104304011;-135.961;-0.0;0.0;0.014854740288317875;6.572883970720678;-2.3492306264768876
2026-05-05_14:57:55:418779;1777985875.3335407;0.0005890931315240405;-62.63770818658619;2.9454656576202024e-06;-0.5446757233616191;2.9454656576202024e-06;-0.5446757233616191;9.839109191616686;1.5684835473845453;0.0;6.8499999999999925;59.90846998333333;10.72000205;0.0;59.90846998333333;10.72000205;0.0;1777985875.3335407;111.015;14.33327612186491;0.58;1.137;2.418;-135.961;2.956;-0.678;-17.265;59.90847045;10.719993516666667;0.0;-0.051991645058962206;0.4774746925954048;1.8058272866633418e-08;1777985875.3296974;0.0038433074951171875;0.0;0.0;-2.372967104304011;-135.961;-0.0;0.0;0.014854740288317875;6.422883970720678;-2.372967104304011
2026-05-05_14:57:55:542751;1777985875.4833982;0.0019331140179375686;-62.63430746413902;9.665570089687844e-06;-0.5446461518620784;9.665570089687844e-06;-0.5446461518620784;9.812824239400511;1.5624411281174018;0.0;6.699999999999992;59.90846998333333;10.72000205;0.0;59.90846998333333;10.72000205;0.0;1777985875.4751062;107.555;0.0;0.58;1.114;1.746;-139.18;-0.542;-6.206;-21.138;59.90847045;10.719993516666667;0.0;-0.051991645058962206;0.4774746925954048;1.8058272866633418e-08;1777985875.4300046;0.05339360237121582;0.0;0.0;-2.429149252925708;-139.18;-0.0;0.0;0.051991645058962206;6.222525307404587;-2.429149252925708
2026-05-05_14:57:55:910404;1777985875.7880795;0.0008186893736429638;-62.634549807636965;4.093446868214819e-06;-0.5446482591968431;4.093446868214819e-06;-0.5446482591968431;9.783959159459794;1.5622347528067824;0.0;6.549999999999992;59.9084696;10.720003266666666;0.0;59.9084696;10.720003266666666;0.0;1777985875.7880795;102.68;0.33027668799811793;0.58;1.114;1.746;-139.18;-0.542;-6.206;-21.138;59.90847045;10.719993516666667;0.0;-0.09469908114017912;0.5455521453405363;2.3154310253847843e-08;1777985875.5447545;0.24332499504089355;-0.17551602569246716;0.2797799409538272;-2.429149252925708;-139.18;-0.05006317357782378;-0.3264603640357011;0.051991645058962206;6.072525307404587;-2.429149252925708
2026-05-05_14:57:56:146743;1777985876.0575716;0.0007145600016281763;-62.638779359692;3.5728000081408814e-06;-0.5446850379103653;3.5728000081408814e-06;-0.5446850379103653;9.752431230367138;1.5473257722756948;0.0;6.3999999999999915;59.908469233333335;10.7200047;0.0;59.908469233333335;10.7200047;0.0;1777985876.0575716;87.523;0.0;0.58;0.685;-1.099;-150.218;0.905;-4.489;-26.24;59.90847045;10.719993516666667;0.0;-0.13554967033718646;0.6257529804576359;3.269698161528778e-08;1777985875.9164963;0.14107537269592285;0.0;0.0;-2.621798695760842;-150.218;-0.0;0.0;0.13554967033718646;5.774247019542355;-2.621798695760842
2026-05-05_14:57:56:225777;1777985876.1578233;0.0009546766456031931;-62.633484702166626;4.773383228015965e-06;-0.5446389974101445;4.773383228015965e-06;-0.5446389974101445;9.718170914290928;1.5413115490968563;0.0;6.249999999999991;59.90846885;10.720007766666667;0.0;59.90846885;10.720007766666667;0.0;1777985876.155656;83.826;11.241336620103256;0.58;0.901;-1.387;-155.432;-0.36;0.024;-25.958;59.90847045;10.719993516666667;0.0;-0.17825708469225038;0.7973454612795413;5.1459331351644266e-08;1777985876.1477468;0.010076522827148438;-0.3088729692931458;0.9307564639183954;-2.712800162959826;-155.432;-0.10607310291712257;-0.974914664533965;0.16340233723781936;5.5403159140964595;-2.712800162959826
2026-05-05_14:57:56:360650;1777985876.266468;0.00041955671549153035;-62.639425143861665;2.0977835774576516e-06;-0.5446906534248841;2.0977835774576516e-06;-0.5446906534248841;9.681089299557206;1.5371924061590354;0.0;6.099999999999991;59.90846885;10.720007766666667;0.0;59.90846885;10.720007766666667;0.0;1777985876.266468;82.555;0.0;0.58;0.901;-1.387;-155.432;-0.36;0.024;-25.958;59.90847045;10.719993516666667;0.0;-0.17825708469225038;0.7973454612795413;5.1459331351644266e-08;1777985876.2540004;0.012467622756958008;0.0;0.0;-2.712800162959826;-155.432;-0.0;0.0;0.17825708469225038;5.302654538720449;-2.712800162959826
2026-05-05_14:57:56:454467;1777985876.3712158;0.000605978956708734;-62.63948923236957;3.02989478354367e-06;-0.5446912107162571;3.02989478354367e-06;-0.5446912107162571;9.641096411787078;1.5362149241311602;0.0;5.94999999999999;59.90846875;10.720009483333333;0.0;59.90846875;10.720009483333333;0.0;1777985876.3701549;79.682;15.149508003069341;0.58;0.003;-0.671;-161.72;-6.987;4.228;-26.595;59.90847045;10.719993516666667;0.0;-0.189398135593992;0.893399946394955;6.392568109581109e-08;1777985876.363772;0.007443904876708984;0.0;0.0;-2.8225464663252295;-161.72;-0.0;0.0;0.17825708469225038;5.152654538720449;-2.8225464663252295
