;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-12_15:02:09:370014;1778590929.370014;200.0;26.7999324163857;1.0;0.23304289057726696;1.0;0.23304289057726696;10.912087910953115;-3.0317318207883037;-11.013418950881492;-1.9247345303611159;59.9085577;10.719674966666666;0.0;59.9085577;10.719674966666666;0.0;1778590929.370014;-115.529;0.0;0.14;-0.772;1.413;178.625;-1.719;2.478;4.066;59.9085592;10.719687983333333;0.0;-0.16711602553785088;-0.7283334989125969;4.214759855014627e-08;1778590929.262982;0.10703206062316895;0.0;0.0;3.1175943763748712;178.625;0.0;-0.0;-10.846302925343641;-1.196401031448519;3.1175943763748712;0.13385911001641126;-173.70543794668225;178.625;7.669562053317729
2026-05-12_15:02:09:475875;1778590929.4734545;200.0;24.019562971484014;1.0;0.20886576496942622;1.0;0.20886576496942622;10.90436841906537;-3.03509475099441;-11.013418950881492;-1.9247345303611159;59.90855766666667;10.7196743;0.0;59.90855766666667;10.7196743;0.0;1778590929.4734545;-119.52;0.3624016463619666;0.14;-1.144;1.613;179.228;-2.744;-0.261;3.706;59.9085592;10.719687983333333;0.0;-0.1708297087092821;-0.7656361116573012;4.730030028765597e-08;1778590929.370014;0.10344052314758301;-0.035901627896184896;-0.3606189490310584;3.1281187117643974;179.22800000000004;0.03103955730706139;0.3610699366716133;-10.84258924217221;-1.1590984187038147;3.1281187117643974;0.13385911001641126;-173.89811965428922;179.22800000000004;7.669562053317729
2026-05-12_15:02:09:576120;1778590929.5761204;200.0;22.13262817595849;1.0;0.19245763631268253;1.0;0.19245763631268253;10.90436841906537;-3.03509475099441;-11.013418950881492;-1.9247345303611159;59.90855766666667;10.7196743;0.0;59.90855766666667;10.7196743;0.0;1778590929.5761204;-126.827;0.0;0.14;-1.541;1.105;179.768;-1.896;-4.805;3.311;59.9085592;10.719687983333333;0.0;-0.1708297087092821;-0.7656361116573012;4.730030028765597e-08;1778590929.4734545;0.10266590118408203;0.0;0.0;3.137543489725166;179.768;0.0;-0.0;-10.84258924217221;-1.1590984187038147;3.137543489725166;0.11997184442077824;-173.89811965428922;179.768;6.873880345710726
2026-05-12_15:02:09:679305;1778590929.6793056;200.0;20.510979269947974;1.0;0.17835634147780846;1.0;0.17835634147780846;10.898715430259678;-3.0383948353546852;-11.013418950881492;-1.9247345303611159;59.90855765;10.71967365;0.0;59.90855765;10.71967365;0.0;1778590929.6793056;-126.188;0.35293262952120663;0.14;-1.592;0.658;-179.957;0.878;-5.849;3.54;59.9085592;10.719687983333333;0.0;-0.17268654789186505;-0.8020061586918379;5.234561067934962e-08;1778590929.5761204;0.10318517684936523;-0.017995212483801353;-0.35247356398517876;-3.1408421620114355;-179.957;0.01825973583254391;0.35245995946784764;-10.840732402989627;-1.122728371669278;-3.1408421620114355;0.11054706646000945;-174.08720056017012;-179.957;6.333880345710759
2026-05-12_15:02:09:782360;1778590929.78236;200.0;17.949176090493317;1.0;0.15607979209124623;1.0;0.15607979209124623;10.89198674066879;-3.0410849595233467;-11.013418950881492;-1.9247345303611159;59.90855761666667;10.719673116666666;0.0;59.90855761666667;10.719673116666666;0.0;1778590929.78236;-122.483;0.291809378611696;0.14;-1.175;-0.092;-179.378;4.341;-3.515;3.619;59.9085592;10.719687983333333;0.0;-0.1764002309809522;-0.831848249254993;5.5393245476653696e-08;1778590929.6793056;0.10305452346801758;-0.03603609976654418;-0.2895757464971099;-3.1307367056423883;-179.378;0.03917753381569069;0.28916748484202576;-10.83701871990054;-1.0928862811061228;-3.1307367056423883;0.10244732665675027;-174.24133332140056;-179.378;5.869799439829885
2026-05-12_15:02:09:885766;1778590929.8857665;200.0;17.005708692730558;1.0;0.14787572776287441;1.0;0.14787572776287441;10.89198674066879;-3.0410849595233467;-11.013418950881492;-1.9247345303611159;59.90855761666667;10.719673116666666;0.0;59.90855761666667;10.719673116666666;0.0;1778590929.8857665;-120.119;0.0;0.14;-0.717;-0.179;-179.108;6.198;-0.489;3.434;59.9085592;10.719687983333333;0.0;-0.1764002309809522;-0.831848249254993;5.5393245476653696e-08;1778590929.78236;0.10340642929077148;0.0;0.0;-3.126024316662004;-179.108;-0.0;0.0;-10.83701871990054;-1.0928862811061228;-3.126024316662004;0.08965174611904159;-174.24133332140056;-179.108;5.136666678599441
2026-05-12_15:02:09:988493;1778590929.9884937;200.0;15.486728835788611;1.0;0.13466720726772705;1.0;0.13466720726772705;10.886730644024393;-3.0442213029358154;-11.013418950881492;-1.9247345303611159;59.9085576;10.7196725;0.0;59.9085576;10.7196725;0.0;1778590929.9884937;-117.005;0.33637489057547315;0.14;-0.167;-0.009;-178.853;7.117;2.755;3.277;59.9085592;10.719687983333333;0.0;-0.1782570691745457;-0.8663531658499297;5.993526380754233e-08;1778590929.8857665;0.10272717475891113;-0.018075433281907027;-0.33588888895188423;-3.121573727069418;-178.853;0.024795497342310666;0.3354597596153782;-10.835161881706947;-1.0583813645111861;-3.121573727069418;0.08493935713865719;-174.42103256203868;-178.853;4.866666678599457
2026-05-12_15:02:10:091254;1778590930.0912547;200.0;14.151897184139006;1.0;0.12305997551425223;1.0;0.12305997551425223;10.886730644024393;-3.0442213029358154;-11.013418950881492;-1.9247345303611159;59.9085576;10.7196725;0.0;59.9085576;10.7196725;0.0;1778590930.0912547;-116.162;0.0;0.14;0.61;0.628;-178.471;5.978;6.121;3.315;59.9085592;10.719687983333333;0.0;-0.1782570691745457;-0.8663531658499297;5.993526380754233e-08;1778590929.9884937;0.10276103019714355;0.0;0.0;-3.1149065693268;-178.471;-0.0;0.0;-10.835161881706947;-1.0583813645111861;-3.1149065693268;0.07735242413360277;-174.42103256203868;-178.471;4.431967437961332
2026-05-12_15:02:10:193680;1778590930.1936805;200.0;11.993920139509527;1.0;0.10429495773486545;1.0;0.10429495773486545;10.88325504301041;-3.0475473147568337;-11.013418950881492;-1.9247345303611159;59.9085576;10.719671850000001;0.0;59.9085576;10.719671850000001;0.0;1778590930.1936805;-117.391;0.35508672378292006;0.14;1.017;1.395;-178.044;2.103;6.18;3.737;59.9085592;10.719687983333333;0.0;-0.17825706019935122;-0.9027232124585578;6.513621091108757e-08;1778590930.0912547;0.10242581367492676;8.762629413906918e-08;-0.3550867237829057;-3.107454013420784;-178.044;0.01211973582850901;0.3548798295343544;-10.83516189068214;-1.022011317902558;-3.107454013420784;0.07068526639098449;-174.61159900199362;-178.044;4.049967437961335
2026-05-12_15:02:10:296578;1778590930.296579;200.0;10.87923088067116;1.0;0.09460200765801009;1.0;0.09460200765801009;10.88325504301041;-3.0475473147568337;-11.013418950881492;-1.9247345303611159;59.9085576;10.719671850000001;0.0;59.9085576;10.719671850000001;0.0;1778590930.296579;-121.141;0.0;0.14;0.976;1.786;-177.725;-1.236;4.525;4.085;59.9085592;10.719687983333333;0.0;-0.17825706019935122;-0.9027232124585578;6.513621091108757e-08;1778590930.1936805;0.10289835929870605;0.0;0.0;-3.101886413106922;-177.725;-0.0;0.0;-10.83516189068214;-1.022011317902558;-3.101886413106922;0.059906698663950486;-174.61159900199362;-177.725;3.4324009980063703
2026-05-12_15:02:10:400965;1778590930.4000072;200.0;8.383376738413714;1.0;0.07289892816011925;1.0;0.07289892816011925;10.877629204659266;-3.0512868497178673;-11.013418950881492;-1.9247345303611159;59.908557583333334;10.719671116666667;0.0;59.908557583333334;10.719671116666667;0.0;1778590930.4000072;-134.064;0.3971334745641826;0.14;0.431;2.03;-177.225;-5.861;0.9;4.295;59.9085592;10.719687983333333;0.0;-0.18011389626809354;-0.9437560862840099;7.198593018897803e-08;1778590930.296579;0.10342836380004883;-0.017952870958415388;-0.3967274770466077;-3.0931597668469504;-177.225;0.03713896438174824;0.3953930878809939;-10.8333050546134;-0.980978444077106;-3.0931597668469504;0.05433909835008821;-174.82585857260247;-177.225;3.1134009980063495
