;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;north_error;east_error;current_angle
2026-05-05_13:01:16:986757;1777978876.9867575;0.0;37.59928885755692;0.0;0.32695033789179934;0.0;0.32695033789179934;11.568259106367258;-3.060887508447709;-11.179661770676855;-0.1231368883254449;59.9085043;10.719685083333333;0.0;59.9085043;10.719685083333333;0.0;1777978876.9867575;44.463;0.827813829661785;0.67;-5.115;-0.465;134.891;-25.541;2.549;-1.124;59.90850115;10.719670616666667;0.0;0.3509438904427039;0.8094679796688067;6.155895457271576e-08;1777978876.8814805;0.10527706146240234;0.0;0.0;0.0;-0.0;-11.530605661119559;-0.9326048679942516;2.354292081307671
2026-05-05_13:01:17:107163;1777978877.105095;0.0;36.08929715731067;0.0;0.31381997528096234;0.0;0.31381997528096234;11.590377444691342;-3.057247323305862;-11.179661770676855;-0.1231368883254449;59.90850446666667;10.719685866666666;0.0;59.90850446666667;10.719685866666666;0.0;1777978877.105095;102.261;0.40225325885999774;0.67;-5.761;0.245;134.707;13.729;0.299;-0.196;59.90850115;10.719670616666667;0.0;0.3695123564500056;0.8532986147741233;6.75234747005149e-08;1777978876.9867575;0.11833739280700684;0.0;0.0;-0.0;-0.0;-11.54917412712686;-0.9764355030995682;2.351080675484001
2026-05-05_13:01:17:224046;1777978877.224046;0.0;36.17032004218477;0.0;0.3145245221059545;0.0;0.3145245221059545;11.590377444691342;-3.057247323305862;-11.179661770676855;-0.1231368883254449;59.90850446666667;10.719685866666666;0.0;59.90850446666667;10.719685866666666;0.0;1777978877.224046;95.412;0.0;0.67;-3.451;0.044;134.637;21.104;-2.271;-0.743;59.90850115;10.719670616666667;0.0;0.3695123564500056;0.8532986147741233;6.75234747005149e-08;1777978877.105095;0.11895108222961426;0.0;0.0;-0.0;-0.0;-11.54917412712686;-0.9764355030995682;2.3498589450076057
2026-05-05_13:01:17:335127;1777978877.335127;0.0;37.11431004490766;0.0;0.322733130825284;0.0;0.322733130825284;11.581507162236447;-3.054919676874888;-11.179661770676855;-0.1231368883254449;59.90850436666667;10.719686333333334;0.0;59.90850436666667;10.719686333333334;0.0;1777978877.335127;73.282;0.25557282209418625;0.67;-0.286;-0.231;134.437;17.922;-0.612;-1.406;59.90850115;10.719670616666667;0.0;0.3583712899309371;0.8794104877399909;7.045106678593704e-08;1777978877.224046;0.11108112335205078;0.0;0.0;0.0;-0.0;-11.538033060607793;-1.0025473760654358;2.3463682865036173
2026-05-05_13:01:17:443849;1777978877.441211;0.0;37.35899614602738;0.0;0.324860836052412;0.0;0.324860836052412;11.581507162236447;-3.054919676874888;-11.179661770676855;-0.1231368883254449;59.90850436666667;10.719686333333334;0.0;59.90850436666667;10.719686333333334;0.0;1777978877.441211;70.227;0.0;0.67;0.836;-0.105;134.29;13.052;2.215;-1.819;59.90850115;10.719670616666667;0.0;0.3583712899309371;0.8794104877399909;7.045106678593704e-08;1777978877.335127;0.10608386993408203;0.0;0.0;0.0;-0.0;-11.538033060607793;-1.0025473760654358;2.343802652503185
2026-05-05_13:01:17:544580;1777978877.5445807;0.0;38.396036628601465;0.0;0.33387857937914317;0.0;0.33387857937914317;11.591522561518417;-3.0506331379883767;-11.179661770676855;-0.1231368883254449;59.908504416666666;10.719687233333334;0.0;59.908504416666666;10.719687233333334;0.0;1777978877.5445807;60.218;0.49014133580637287;0.67;1.54;0.281;134.104;7.844;5.446;-2.436;59.90850115;10.719670616666667;0.0;0.3639418386019339;0.9297690932494539;7.791792835942779e-08;1777978877.441211;0.10336971282958984;0.0;0.0;0.0;-0.0;-11.543603609278788;-1.0529059815748987;2.3405563400944764
2026-05-05_13:01:17:662449;1777978877.6624491;0.0;38.92859507232632;0.0;0.3385095223680549;0.0;0.3385095223680549;11.591522561518417;-3.0506331379883767;-11.179661770676855;-0.1231368883254449;59.908504416666666;10.719687233333334;0.0;59.908504416666666;10.719687233333334;0.0;1777978877.6624491;56.375;0.0;0.67;1.865;1.285;133.726;0.797;9.288;-3.712;59.90850115;10.719670616666667;0.0;0.3639418386019339;0.9297690932494539;7.791792835942779e-08;1777978877.5445807;0.11786842346191406;0.0;0.0;0.0;-0.0;-11.543603609278788;-1.0529059815748987;2.3339589955219378
2026-05-05_13:01:17:775890;1777978877.7758906;0.0;40.04869154385834;0.0;0.34824949168572467;0.0;0.34824949168572467;11.626669100545968;-3.04575305427659;-11.179661770676855;-0.1231368883254449;59.908504683333334;10.7196883;0.0;59.908504683333334;10.7196883;0.0;1777978877.7758906;53.075;0.5877026232963591;0.67;1.698;2.092;133.39;-2.445;9.983;-4.545;59.90850115;10.719670616666667;0.0;0.39365138126712684;0.9894533599829135;9.005929427208237e-08;1777978877.6624491;0.11344146728515625;0.0;0.0;0.0;-0.0;-11.573313151943982;-1.1125902483083583;2.328094689235236
2026-05-05_13:01:17:889978;1777978877.8899786;0.0;41.74123487851077;0.0;0.3629672598131371;0.0;0.3629672598131371;11.672428694669229;-3.0416343665528487;-11.179661770676855;-0.1231368883254449;59.90850505;10.719689233333334;0.0;59.90850505;10.719689233333334;0.0;1777978877.8899786;54.945;0.5811565424872215;0.67;0.907;3.334;132.542;-5.079;5.434;-5.559;59.90850115;10.719670616666667;0.0;0.43450199737630757;1.0416770886591975;1.0005675327162677e-07;1777978877.7758906;0.11408805847167969;0.0;0.0;0.0;-0.0;-11.614163768053162;-1.1648139769846424;2.3132942971783237
2026-05-05_13:01:18:008905;1777978878.0089054;0.0;40.85618313608597;0.0;0.3552711577050954;0.0;0.3552711577050954;11.672428694669229;-3.0416343665528487;-11.179661770676855;-0.1231368883254449;59.90850505;10.719689233333334;0.0;59.90850505;10.719689233333334;0.0;1777978878.0089054;54.945;0.0;0.67;0.907;3.334;132.542;-5.079;5.434;-5.559;59.90850115;10.719670616666667;0.0;0.43450199737630757;1.0416770886591975;1.0005675327162677e-07;1777978877.8899786;0.1189267635345459;0.0;0.0;0.0;-0.0;-11.614163768053162;-1.1648139769846424;2.3132942971783237
