;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg
2026-05-05_15:04:56:540783;1777986296.4511213;149.9690124088026;0.01659669869711622;0.749845062044013;0.00014431911910535843;0.749845062044013;0.00014431911910535843;11.191256419452653;-2.892476197789639;-10.728808160681307;-3.1452623819481556;59.90848388333333;10.719560483333334;0.0;59.90848388333333;10.719560483333334;0.0;1777986296.4511213;-69.79;0.0;0.57;0.568;0.213;-177.805;-14.856;-6.51;3.725;59.90848283333333;10.719567383333333;0.0;0.11698128877824986;-0.38608289087984565;1.0563340223368467e-08;1777986296.3444188;0.10670256614685059;0.0;0.0;-3.1032826765085177;-177.805;-0.0;0.0;-10.845789449459557;-2.75917949106831;-3.1104036198566543;0.2179274220670151;-165.72667847539387;-178.213;12.486321524606128
2026-05-05_15:04:56:648690;1777986296.5675638;149.96901262747423;0.016596600860263003;0.7498450631373711;0.00014431826835011307;0.7498450631373711;0.00014431826835011307;11.191256419452653;-2.892476197789639;-10.728808160681307;-3.1452623819481556;59.90848388333333;10.719560483333334;0.0;59.90848388333333;10.719560483333334;0.0;1777986296.5675638;-70.258;0.0;0.57;0.568;0.213;-177.805;-14.856;-6.51;3.725;59.90848283333333;10.719567383333333;0.0;0.11698128877824986;-0.38608289087984565;1.0563340223368467e-08;1777986296.4511213;0.11644244194030762;0.0;0.0;-3.1032826765085177;-177.805;-0.0;0.0;-10.845789449459557;-2.75917949106831;-3.1032826765085177;0.2108064787188786;-165.72667847539387;-177.805;12.078321524606148
2026-05-05_15:04:56:768477;1777986296.6645374;142.72374087826188;3.928862505904058;0.7136187043913094;0.03416402179047007;0.7136187043913094;0.03416402179047007;11.191256419452653;-2.892476197789639;-10.728808160681307;-3.1452623819481556;59.908483933333336;10.719560016666666;0.0;59.908483933333336;10.719560016666666;0.0;1777986296.6645374;-73.271;0.27532699655335846;0.57;-2.133;-0.31;-177.103;-10.073;0.352;3.52;59.90848283333333;10.719567383333333;0.0;0.12255182814741136;-0.41219477649085023;1.4420785003632641e-08;1777986296.5675638;0.09697365760803223;0.05744384100347788;-0.2692678223662439;-3.0910304651595175;-177.103;-0.04376145804533266;0.27182694829769644;-10.845789449459557;-2.75917949106831;-3.1032826765085177;0.2108064787188786;-165.72667847539387;-177.805;12.078321524606148
2026-05-05_15:04:56:867882;1777986296.7684774;149.9581187577802;0.02248781222435639;0.749790593788901;0.00019554619325527295;0.749790593788901;0.00019554619325527295;11.190248975923321;-2.894860350080135;-10.728808160681307;-3.1452623819481556;59.908483933333336;10.719560016666666;0.0;59.908483933333336;10.719560016666666;0.0;1777986296.7684774;-73.94;0.0;0.57;-2.133;-0.31;-177.103;-10.073;0.352;3.52;59.90848283333333;10.719567383333333;0.0;0.12255182814741136;-0.41219477649085023;1.4420785003632641e-08;1777986296.6645374;0.10394001007080078;0.0;0.0;-3.0910304651595175;-177.103;-0.0;0.0;-10.851359988828719;-2.7330676054573053;-3.0910304651595175;0.19617011507938242;-165.86328033935573;-177.103;11.239719660644282
2026-05-05_15:04:57:002943;1777986296.8835354;142.2306580613617;4.194484573504171;0.7111532903068085;0.03647377890003627;0.7111532903068085;0.03647377890003627;11.190248975923321;-2.894860350080135;-10.728808160681307;-3.1452623819481556;59.908484;10.719559433333334;0.0;59.908484;10.719559433333334;0.0;1777986296.8835354;-75.758;0.29093395880592;0.57;-2.666;0.114;-176.732;0.911;5.326;3.283;59.90848283333333;10.719567383333333;0.0;0.12997921330840545;-0.4448346335188928;1.6308566837264227e-08;1777986296.7684774;0.11505794525146484;0.064553431271184;-0.28368190442395386;-3.0845552936346183;-176.732;-0.04827676006330531;0.28690054517946606;-10.851359988828719;-2.7330676054573053;-3.0910304651595175;0.19617011507938242;-165.86328033935573;-177.103;11.239719660644282
2026-05-05_15:04:57:072853;1777986297.0038416;137.37149286200642;6.81906749896962;0.6868574643100321;0.059296239121474956;0.6868574643100321;0.059296239121474956;11.189529626307138;-2.8978511344321345;-10.728808160681307;-3.1452623819481556;59.908484083333335;10.71955865;0.0;59.908484083333335;10.71955865;0.0;1777986297.0038416;-77.621;0.3724093315552039;0.57;-2.026;1.017;-176.278;6.536;5.321;3.135;59.90848283333333;10.719567383333333;0.0;0.1392634460482097;-0.4886652984920596;2.049138500548331e-08;1777986296.8835354;0.12030625343322754;0.07717165546142778;-0.36432574136716606;-3.0766314988305643;-176.27800000000002;-0.05335850362249635;0.36856692787139833;-10.858787373989713;-2.700427748429263;-3.0845552936346183;0.18670415920248384;-166.03463966015906;-176.732;10.697360339840934
2026-05-05_15:04:57:212717;1777986297.1150413;149.98498499578494;0.007991677980817784;0.7499249249789247;6.949285200711116e-05;0.7499249249789247;6.949285200711116e-05;11.18805114900838;-2.901853247152505;-10.728808160681307;-3.1452623819481556;59.908484083333335;10.71955865;0.0;59.908484083333335;10.71955865;0.0;1777986297.1150413;-78.832;0.0;0.57;-0.899;1.517;-175.843;6.631;1.573;2.86;59.90848283333333;10.719567383333333;0.0;0.1392634460482097;-0.4886652984920596;2.049138500548331e-08;1777986297.0038416;0.11119961738586426;0.0;0.0;-3.0690393165843886;-175.843;-0.0;0.0;-10.868071606729517;-2.656597083456096;-3.0766314988305643;0.17477825167805916;-166.26394382817193;-176.27800000000002;10.014056171828088
2026-05-05_15:04:57:308123;1777986297.22048;129.79842760582835;10.908306222835005;0.6489921380291418;0.0948548367203044;0.6489921380291418;0.0948548367203044;11.18805114900838;-2.901853247152505;-10.728808160681307;-3.1452623819481556;59.9084841;10.719557916666666;0.0;59.9084841;10.719557916666666;0.0;1777986297.22048;-80.034;0.3895623946967635;0.57;-0.34;1.474;-175.525;3.923;-1.121;2.808;59.90848283333333;10.719567383333333;0.0;0.14112029807785934;-0.5296982622762291;2.3212817057416402e-08;1777986297.1150413;0.1054387092590332;0.017610724208391756;-0.38916413215343004;-3.063489169563047;-175.525;0.012807144121738015;0.3893518157416521;-10.868071606729517;-2.656597083456096;-3.0690393165843886;0.1671860694318834;-166.26394382817193;-175.843;9.579056171828064
2026-05-05_15:04:57:437078;1777986297.3298845;149.9983003945183;0.0007339772301907035;0.7499915019725916;6.382410697310466e-06;0.7499915019725916;6.382410697310466e-06;11.180184272303281;-2.9054578757698524;-10.728808160681307;-3.1452623819481556;59.9084841;10.719557916666666;0.0;59.9084841;10.719557916666666;0.0;1777986297.3298845;-81.217;0.0;0.57;-0.133;1.336;-175.291;2.315;-1.836;3.153;59.90848283333333;10.719567383333333;0.0;0.14112029807785934;-0.5296982622762291;2.3212817057416402e-08;1777986297.22048;0.1094045639038086;0.0;0.0;-3.05940509911338;-175.291;-0.0;0.0;-10.869928458759167;-2.6155641196719266;-3.063489169563047;0.15803129379319447;-166.47047383465798;-175.525;9.054526165342006
2026-05-05_15:04:57:709613;1777986297.59242;149.9861825341053;0.0072366971083552695;0.7499309126705265;6.292780094221974e-05;0.7499309126705265;6.292780094221974e-05;11.180184272303281;-2.9054578757698524;-10.728808160681307;-3.1452623819481556;59.90848411666666;10.71955735;0.0;59.90848411666666;10.71955735;0.0;1777986297.59242;-84.363;0.12098023046911428;0.57;0.347;1.429;-174.132;2.135;2.829;4.788;59.90848283333333;10.719567383333333;0.0;0.1429771467754091;-0.5614055522524695;2.6156142786393222e-08;1777986297.3298845;0.26253557205200195;0.007072750877286699;-0.12077330979727176;-3.039176733082766;-174.132;0.0053118075519590895;0.12086356301586879;-10.869928458759167;-2.6155641196719266;-3.05940509911338;0.15394722334352773;-166.47047383465798;-175.291;8.820526165342004
