;current_time;tau_X;tau_N;controller_X_cmd;controller_N_cmd;PMARMAN_X;PMARMAN_N;distance_to_target;yaw_setpoint;target_north_from_observer;target_east_from_observer;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;yaw_rad;yaw_deg_wrapped;speed_surge;speed_sway;north_error;east_error;current_angle;heading_error;yaw_setpoint_deg;current_angle_deg;heading_error_deg;drl_x_rel;drl_y_rel;drl_yaw_rel;drl_distance_to_target
2026-05-12_14:51:32:446586;1778590292.4429646;150.0;11.945889703158674;0.75;0.10387730176659717;0.75;0.10387730176659717;11.13139665877244;2.2654399542370487;-7.4484278041669345;6.838927053720702;59.90854375;10.719699666666667;0.0;59.90854375;10.719699666666667;0.0;1778590292.436975;179.763;0.0;0.14;-1.895;5.259;158.539;-0.719;6.621;5.851;59.90854665;10.719730283333334;0.0;-0.3230907257294213;-1.713123173772925;2.3648348332350189e-07;1778590292.3560433;0.08692121505737305;0.0;0.0;2.7670275428192905;158.53900000000002;0.0;-0.0;-7.125337078437513;8.552050227493627;2.7670275428192905;-0.5015875885822418;129.80014811809326;158.53900000000002;-28.738851881906776;-7.125337078437513;8.552050227493627;-0.5015875885822418;11.13139665877244
2026-05-12_14:51:32:909880;1778590292.9098809;106.25455474853516;-26.288168282344422;0.5312727737426758;-0.2285927676725602;0.5312727737426758;-0.2285927676725602;10.94632023865116;2.259638027379655;-7.565144545844378;6.744708147909814;59.9085412;10.7196998;0.0;59.9085412;10.7196998;0.0;1778590292.9098809;167.915;0.6156061433622954;0.14;0.462;3.994;160.636;2.047;-5.576;4.218;59.90854665;10.719730283333334;0.0;-0.6071880953516005;-1.7056627788690748;2.5543801407401645e-07;1778590292.6162987;0.2935822010040283;-0.6135045746874521;0.05082381905137281;2.803627097233611;160.636;0.5956509150949656;0.15546996845670308;-6.9579564504927776;8.45037092677889;2.803627097233611;-0.5439890698539562;129.46772219612097;160.636;-31.168277803879015;-6.9579564504927776;8.45037092677889;-0.5439890698539562;10.94632023865116
2026-05-12_14:51:33:119074;1778590293.119074;-150.0;57.103010506465516;-0.75;0.49654791744752624;-0.75;0.49654791744752624;10.761099144652965;2.257686770491607;-7.681861287521821;6.650489242098927;59.90853895;10.719700433333333;0.0;59.90853895;10.719700433333333;0.0;1778590293.1151953;165.434;0.0;0.14;-0.552;3.753;161.533;-4.56;1.977;1.578;59.90854665;10.719730283333334;0.0;-0.8578622575597505;-1.6702253930828073;2.759122222362187e-07;1778590293.080593;0.03848099708557129;0.0;0.0;2.819282700624;161.533;0.0;-0.0;-6.823999029962071;8.320714635181734;2.819282700624;-0.561595930132393;129.35592341169001;161.533;-32.17707658830997;-6.823999029962071;8.320714635181734;-0.561595930132393;10.761099144652965
2026-05-12_14:51:33:314202;1778590293.3131566;-150.0;41.41992082266972;-0.75;0.36017322454495404;-0.75;0.36017322454495404;10.533208573637621;2.254200117980851;-7.798578029199264;6.55627033628804;59.90853635;10.719701483333333;0.0;59.90853635;10.719701483333333;0.0;1778590293.3131566;164.979;0.0;0.14;-0.552;3.753;161.533;-4.56;1.977;1.578;59.90854665;10.719730283333334;0.0;-1.1475301867029573;-1.6114738720340054;3.0598767181144737e-07;1778590293.284933;0.028223514556884766;0.0;0.0;2.819282700624;161.533;0.0;-0.0;-6.6510478424963075;8.167744208322045;2.819282700624;-0.5650825826431491;129.156152938195;161.533;-32.376847061804995;-6.6510478424963075;8.167744208322045;-0.5650825826431491;10.533208573637621
2026-05-12_14:51:33:525239;1778590293.525239;-150.0;46.440348394985854;-0.75;0.40382911647813785;-0.75;0.40382911647813785;10.273289464127313;2.249139687824611;-7.915294770876708;6.462051430477152;59.90853346666667;10.719702816666667;0.0;59.90853346666667;10.719702816666667;0.0;1778590293.517487;163.339;0.0;0.14;-0.727;3.693;161.122;2.707;-2.471;-2.707;59.90854665;10.719730283333334;0.0;-1.4687644928167867;-1.5368687333828381;3.5390325459072614e-07;1778590293.4866798;0.0385591983795166;0.0;0.0;2.812109397398304;161.122;0.0;-0.0;-6.446530278059921;7.9989201638599905;2.812109397398304;-0.562969709573693;128.8662116477217;161.122;-32.2557883522783;-6.446530278059921;7.9989201638599905;-0.562969709573693;10.273289464127313
2026-05-12_14:51:33:721683;1778590293.7216833;-150.0;48.386826087688576;-0.75;0.4207550094581615;-0.75;0.4207550094581615;9.717396333548095;2.2233216703401477;-8.032011512554151;6.367832524666265;59.908527516666666;10.7197061;0.0;59.908527516666666;10.7197061;0.0;1778590293.7216833;161.836;14.237124978922122;0.14;-0.727;3.693;161.122;2.707;-2.471;-2.707;59.90854665;10.719730283333334;0.0;-2.13165841657447;-1.3531534775239313;4.982302949096962e-07;1778590293.6978126;0.02387070655822754;0.0;0.0;2.812109397398304;161.122;0.0;-0.0;-5.900353095979681;7.720986002190196;2.812109397398304;-0.5887877270581563;127.38694821046701;161.122;-33.73505178953302;-5.900353095979681;7.720986002190196;-0.5887877270581563;9.717396333548095
2026-05-12_14:51:33:960561;1778590293.9605615;-150.0;46.89104435361665;-0.75;0.40774821177057957;-0.75;0.40774821177057957;9.4451333817004;2.218601474999915;-8.148728254231594;6.273613618855378;59.908524666666665;10.7197078;0.0;59.908524666666665;10.7197078;0.0;1778590293.9595506;162.191;6.938023369400201;0.14;-0.143;1.674;160.236;1.775;-6.642;-0.791;59.90854665;10.719730283333334;0.0;-2.449179035116048;-1.2580318386121054;5.927944453087974e-07;1778590293.9329872;0.02757430076599121;0.0;0.0;2.7966457802256333;160.23599999999996;0.0;-0.0;-5.699549219115546;7.531645457467484;2.7966457802256333;-0.5780443052257183;127.11650093899435;160.23599999999996;-33.11949906100561;-5.699549219115546;7.531645457467484;-0.5780443052257183;9.4451333817004
2026-05-12_14:51:34:187590;1778590294.1875906;-150.0;47.003872049265894;-0.75;0.4087293221675295;-0.75;0.4087293221675295;9.18239209200191;2.2141060937229073;-8.265444995909037;6.17939471304449;59.9085219;10.719709416666667;0.0;59.9085219;10.719709416666667;0.0;1778590294.1851645;162.657;7.6962580077341896;0.14;0.107;1.075;160.162;2.199;-4.031;-0.347;59.90854665;10.719730283333334;0.0;-2.757415422378683;-1.1675730116957126;7.029582256290468e-07;1778590294.151035;0.03655552864074707;0.0;0.0;2.7953542365791577;160.16199999999998;0.0;-0.0;-5.508029573530354;7.346967724740203;2.7953542365791577;-0.5812481428562504;126.85893456451969;160.16199999999998;-33.3030654354803;-5.508029573530354;7.346967724740203;-0.5812481428562504;9.18239209200191
2026-05-12_14:51:34:358333;1778590294.3583329;-150.0;45.37992201180293;-0.75;0.39460801749393853;-0.75;0.39460801749393853;8.948414767280083;2.2113709967055546;-8.38216173758648;6.085175807233603;59.908519416666664;10.719710816666666;0.0;59.908519416666664;10.719710816666666;0.0;1778590294.3583329;161.585;5.2507058200454155;0.14;0.107;1.075;160.162;2.199;-4.031;-0.347;59.90854665;10.719730283333334;0.0;-3.0340854288168724;-1.0892375236843688;8.147373595779328e-07;1778590294.3583329;0.0;0.0;0.0;2.7953542365791577;160.16199999999998;0.0;-0.0;-5.348076308769608;7.174413330917972;2.7953542365791577;-0.5839832398736031;126.70222504886655;160.16199999999998;-33.45977495113343;-5.348076308769608;7.174413330917972;-0.5839832398736031;8.948414767280083
2026-05-12_14:51:34:785486;1778590294.785486;-150.0;40.771176568393045;-0.75;0.35453197015993954;-0.75;0.35453197015993954;8.568013281149698;2.194793711439019;-8.498878479263924;5.990956901422716;59.9085153;10.719713083333334;0.0;59.9085153;10.719713083333334;0.0;1778590294.785486;164.14;1.9370975499679461;0.14;-1.576;-0.104;160.493;-2.888;-8.183;1.564;59.90854665;10.719730283333334;0.0;-3.4927263076346096;-0.9624086161125673;1.0275016169014606e-06;1778590294.6676965;0.11778950691223145;-1.8759279794811141;0.48295044662046566;2.801131276403259;160.493;1.9295188198122195;0.17118423432507324;-5.0061521716293145;6.953365517535283;2.801131276403259;-0.6063375649642402;125.75241656730967;160.493;-34.740583432690336;-5.0061521716293145;6.953365517535283;-0.6063375649642402;8.568013281149698
